Generation variable Group value sd var SDSt zMean scenario Rep Import Trait
27 gvNormUnres2 import 3.36010462170308 1.30015387494001 1.69040009852153 0.894637810623705 2.34027667006669 Class 0 BurnIn 2
28 gvNormUnres2 import 3.63766352324843 1.28258271259039 1.64501841463573 0.882547067737367 2.53126536208525 Class 0 BurnIn 2
29 gvNormUnres2 import 3.97621537017978 1.28863226968389 1.66057312647066 0.886709776950244 2.76422339033037 Class 0 BurnIn 2
30 gvNormUnres2 import 4.28346736785762 1.28373456100795 1.64797442312626 0.883339656342693 2.9756439458588 Class 0 BurnIn 2
31 gvNormUnres2 import 4.6091254531383 1.25654375243115 1.57890220177377 0.864629620612999 3.19972975757925 Class 0 BurnIn 2
32 gvNormUnres2 import 4.87527706856627 1.24999541093988 1.56248852737076 0.860123697115875 3.38286907909335 Class 0 BurnIn 2
33 gvNormUnres2 import 5.19584225942656 1.26138982735691 1.5911042965595 0.867964211960424 3.60345046260586 Class 0 BurnIn 2
34 gvNormUnres2 import 5.56179633694547 1.258138890339 1.58291346738344 0.865727237374384 3.85526400638001 Class 0 BurnIn 2
35 gvNormUnres2 import 5.85995975645102 1.24707702986626 1.55520111842006 0.858115554768578 4.06043069778169 Class 0 BurnIn 2
36 gvNormUnres2 import 6.13032992617504 1.23921951147501 1.53566499762036 0.852708784703912 4.24647281276674 Class 0 BurnIn 2
37 gvNormUnres2 import 6.45678092426069 1.25149458392415 1.56623869359148 0.861155280270949 4.47110422896489 Class 0 BurnIn 2
38 gvNormUnres2 import 6.69385801335177 1.2462860001125 1.55322879407642 0.857571246021218 4.63423732576335 Class 0 BurnIn 2
39 gvNormUnres2 import 7.00800586875599 1.2325184299166 1.51910168008407 0.848097760539941 4.85040293122596 Class 0 BurnIn 2
40 gvNormUnres2 import 7.34746140913471 1.21421679027744 1.47432241379165 0.835504375146727 5.08398279227318 Class 0 BurnIn 2
20 gvNormUnres1 home -0.115706184364942 1.49967235181 2.24901716278334 1 0 Class 0 BurnIn 3
21 gvNormUnres1 home 1.07842344469709 1.42702521661413 2.0364009688526 0.951557995245965 0.796260348215932 Class 0 BurnIn 3
22 gvNormUnres1 home 1.14556695999317 1.43058615264794 2.04657674014804 0.953932471263689 0.841032471416735 Class 0 BurnIn 3
23 gvNormUnres1 home 1.08382409583649 1.47358057330255 2.17143970601467 0.982601680643133 0.799861568931163 Class 0 BurnIn 3
24 gvNormUnres1 home 1.31253637569734 1.46304630892059 2.14050450204617 0.975577303372163 0.952369734854743 Class 0 BurnIn 3
25 gvNormUnres1 home 1.71319530956469 1.4778596657801 2.18406919173968 0.985455032225158 1.21953404803541 Class 0 BurnIn 3
26 gvNormUnres1 home 1.79493792420128 1.44639121765154 2.0920475544995 0.964471483324903 1.27404103053591 Class 0 BurnIn 3
27 gvNormUnres1 home 1.95051663099336 1.4031315852574 1.96877824554693 0.935625427490153 1.37778282893894 Class 0 BurnIn 3
28 gvNormUnres1 home 2.24447783022032 1.4442353409115 2.08581571993776 0.963033918154462 1.573799778156 Class 0 BurnIn 3
29 gvNormUnres1 home 2.5461190534703 1.36248985151488 1.85637859548105 0.908525018728558 1.77493786200873 Class 0 BurnIn 3
30 gvNormUnres1 home 2.69690069523988 1.33413049837279 1.77990418668843 0.889614652669022 1.8754809183554 Class 0 BurnIn 3
31 gvNormUnres1 home 2.79156298103181 1.36164447079885 1.85407566485708 0.907961308452102 1.93860289675133 Class 0 BurnIn 3
32 gvNormUnres1 home 3.10773188691223 1.35969365982127 1.84876684855817 0.906660483658458 2.14942821836164 Class 0 BurnIn 3
33 gvNormUnres1 home 3.22649368335245 1.34482856876551 1.80856387936788 0.89674825780604 2.22862004736141 Class 0 BurnIn 3
34 gvNormUnres1 home 3.37147876762946 1.33935325759119 1.79386714862014 0.893097252859723 2.32529788775902 Class 0 BurnIn 3
35 gvNormUnres1 home 3.50515263054742 1.34611416465101 1.81202334427408 0.897605508980906 2.41443326640131 Class 0 BurnIn 3
36 gvNormUnres1 home 3.68675936285645 1.31756030783451 1.73596516478096 0.878565445475007 2.53553087288172 Class 0 BurnIn 3
37 gvNormUnres1 home 3.7244615439828 1.31024514728343 1.71674234597977 0.873687606297504 2.56067115174386 Class 0 BurnIn 3
38 gvNormUnres1 home 3.989133348948 1.32223139437871 1.74829586028066 0.881680183529998 2.73715757202477 Class 0 BurnIn 3
39 gvNormUnres1 home 4.17792541690096 1.34537406715386 1.81003138057012 0.897112002851881 2.86304644883516 Class 0 BurnIn 3
40 gvNormUnres1 home 4.37513835050549 1.33575931676732 1.7842529523307 0.890700768841375 2.99455046260624 Class 0 BurnIn 3
20 gvNormUnres3 home -0.704799101493519 1.58917172296096 2.52546676505871 1 0 Class 0 BurnIn 3
21 gvNormUnres3 home 0.395153515666262 1.49017918173555 2.22063399367803 0.937708090450434 0.692154662247788 Class 0 BurnIn 3
22 gvNormUnres3 home 0.392699005995752 1.52107347957213 2.31366453025765 0.957148593569261 0.690610140887984 Class 0 BurnIn 3
23 gvNormUnres3 home 0.430734282705185 1.56280660587195 2.442364487357 0.983409522892913 0.714544166493829 Class 0 BurnIn 3
24 gvNormUnres3 home 0.654575655460718 1.56177965058347 2.43915567697663 0.98276330242873 0.855398279061645 Class 0 BurnIn 3
25 gvNormUnres3 home 0.958129258728542 1.55182035457252 2.40814641286557 0.97649632959813 1.04641199953122 Class 0 BurnIn 3
26 gvNormUnres3 home 1.09039251189699 1.52537768004563 2.32677706678138 0.959857048804976 1.12963979125282 Class 0 BurnIn 3
27 gvNormUnres3 home 1.23948135771872 1.47056457037614 2.16256015564556 0.925365427240403 1.22345523213163 Class 0 BurnIn 3
28 gvNormUnres3 home 1.4715416708125 1.50422190607823 2.26268354272562 0.94654459574422 1.36948118372698 Class 0 BurnIn 3
29 gvNormUnres3 home 1.75770165972856 1.44929837799798 2.10046578846758 0.911983492443242 1.54954982249113 Class 0 BurnIn 3
30 gvNormUnres3 home 2.00786934892061 1.43984591629762 2.07315626267895 0.906035449469795 1.70696999652112 Class 0 BurnIn 3
31 gvNormUnres3 home 2.05583755284389 1.46135555359212 2.13556005401453 0.91957057407824 1.73715440216477 Class 0 BurnIn 3
32 gvNormUnres3 home 2.20754357019485 1.4650237730174 2.14629465550615 0.921878832759341 1.83261672077959 Class 0 BurnIn 3
33 gvNormUnres3 home 2.18611603075723 1.47659688295123 2.18033835474128 0.929161311906566 1.81913325695499 Class 0 BurnIn 3
34 gvNormUnres3 home 2.42721293191545 1.4728887836025 2.16940136886205 0.926827958440007 1.97084555945494 Class 0 BurnIn 3
35 gvNormUnres3 home 2.47811146513988 1.45795644848466 2.12563700567799 0.917431657900491 2.00287390006095 Class 0 BurnIn 3
36 gvNormUnres3 home 2.63487805470735 1.45874539590971 2.12793813008778 0.917928109865786 2.10152062734815 Class 0 BurnIn 3
37 gvNormUnres3 home 2.63612139192457 1.45271729268001 2.11038753245154 0.914134873966478 2.10230300800548 Class 0 BurnIn 3
38 gvNormUnres3 home 2.89072139573604 1.44419201002558 2.08569056182171 0.908770266396851 2.26251225420142 Class 0 BurnIn 3
39 gvNormUnres3 home 3.05924422398499 1.45911512514826 2.12901694843644 0.918160765174971 2.36855669597827 Class 0 BurnIn 3
40 gvNormUnres3 home 3.20235560610248 1.47369963701455 2.17179062013683 0.927338194936379 2.45861076631551 Class 0 BurnIn 3
20 gvNormUnres1 import -0.106041680605799 1.49661320556888 2.23985108708317 1 0 Class 0 BurnIn 3
21 gvNormUnres1 import 1.22760306778723 1.42974401270568 2.04416794186773 0.955319655997698 0.891108499798447 Class 0 BurnIn 3
22 gvNormUnres1 import 1.09808905763615 1.4293527200851 2.04304919841468 0.955058203927705 0.804570435274382 Class 0 BurnIn 3
