Generation Group variable value sd var SDSt zMean Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic scenario Import
31 home gvNormUnres1 3.24178365081819 1.53565006425322 2.35822111984093 0.969568946354046 1.88200357081012 SU55 Class 0 2.57654907643224 1 1.60516325538315 1.00114337554525 1.85913564032906 -0.00114337554525301 2.51431499767857 1.58565916819428 1.00114337554525 1.88200357081012 Class BurnIn
32 home gvNormUnres1 3.39023949326402 1.52110450286626 2.31375890864002 0.960385262547186 1.97573467406788 SU55 Class 0 2.57171835881552 1 1.60365780602207 1.00020442391525 1.95172783163869 -0.000204423915247887 2.50960096142582 1.58417201131248 1.00020442391525 1.97573467406788 Class BurnIn
33 home gvNormUnres1 3.69230262683926 1.5264666245072 2.33010035573441 0.963770764720272 2.16644936940791 SU55 Class 0 2.57234907205811 1 1.60385444229148 1.0003270663305 2.14012518260042 -0.000327066330497505 2.51021644039325 1.58436625828539 1.0003270663305 2.16644936940791 Class BurnIn
34 home gvNormUnres1 3.65886779258794 1.49798292481661 2.24395284304211 0.945786908020012 2.14533949693684 SU55 Class 0 2.56814506292609 1 1.60254331078011 0.999509311112971 2.11927181288186 0.000490688887028745 2.50611397508114 1.58307105812757 0.999509311112971 2.14533949693684 Class BurnIn
35 home gvNormUnres1 4.00874021909278 1.48067930001612 2.19241118949622 0.934861855720368 2.36623971881753 SU55 Class 0 2.55773164212614 1 1.59929098106822 0.997480826885441 2.33748791078129 0.00251917311455852 2.49595208050131 1.57985824696436 0.997480826885441 2.36623971881753 Class BurnIn
36 home gvNormUnres1 4.19158510818653 1.48564571084757 2.20714317815978 0.937997516525589 2.48168315908532 SU55 Class 0 2.55167387253431 1 1.59739596610681 0.996298902449526 2.45152861589625 0.00370109755047421 2.49004063054038 1.57798625803281 0.996298902449526 2.48168315908532 Class BurnIn
37 home gvNormUnres1 4.3571529326341 1.45113412591061 2.10579025138235 0.91620781207192 2.58621831643435 SU55 Class 0 2.55117646198321 1 1.59724026432569 0.996201790952484 2.55479358292887 0.00379820904751571 2.48955523446542 1.57783244815963 0.996201790952484 2.58621831643435 Class BurnIn
38 home gvNormUnres1 4.64827967088714 1.46167557967152 2.13649550020806 0.922863407935793 2.77002806022566 SU55 Class 0 2.53332704153821 1 1.59164287499998 0.992710688583308 2.73636988332615 0.00728931141669209 2.47213694970025 1.57230307183451 0.992710688583308 2.77002806022566 Class BurnIn
39 home gvNormUnres1 5.01472016003523 1.40372119418649 1.97043319100834 0.886272537541996 3.00138891986106 SU55 Class 0 2.52230492795129 1 1.58817660477394 0.990548769250174 2.96491951341011 0.00945123074982579 2.46138106472557 1.56887891971483 0.990548769250174 3.00138891986106 Class BurnIn
40 home gvNormUnres1 5.16158606965267 1.39896305380749 1.95709762591837 0.883268373207125 3.09411618146695 SU55 Class 0 2.51187363123701 1 1.58488915424297 0.988498380100986 3.05652006059048 0.0115016198990135 2.45120172600703 1.56563141448012 0.988498380100986 3.09411618146695 Class BurnIn
