,Gen,genInt,line,sex,Group,Rep,scenario,strategy,trait
229,46,4.06573135879449,dam,F,import,0,0_0,GenGen,12
230,47,5.025,dam,M,import,0,0_0,GenGen,12
231,46,3.64588204728501,sire,F,import,0,0_0,GenGen,12
232,47,4.0875,sire,M,import,0,0_0,GenGen,12
233,47,4.07430501428943,dam,F,import,0,0_0,GenGen,12
234,48,5.0125,dam,M,import,0,0_0,GenGen,12
235,47,3.63211223694466,sire,F,import,0,0_0,GenGen,12
236,48,3.995,sire,M,import,0,0_0,GenGen,12
237,48,4.05923616523772,dam,F,import,0,0_0,GenGen,12
238,49,5.095,dam,M,import,0,0_0,GenGen,12
239,48,3.67679916861522,sire,F,import,0,0_0,GenGen,12
240,49,3.88,sire,M,import,0,0_0,GenGen,12
241,19,1,dam,F,home,0,0_0,GenGen,13
242,20,1,dam,M,home,0,0_0,GenGen,13
243,19,1,sire,F,home,0,0_0,GenGen,13
244,20,1,sire,M,home,0,0_0,GenGen,13
245,20,1,dam,F,home,0,0_0,GenGen,13
246,21,5.25925925925926,dam,M,home,0,0_0,GenGen,13
247,20,1,sire,F,home,0,0_0,GenGen,13
248,21,7.66666666666667,sire,M,home,0,0_0,GenGen,13
249,21,4.22083658093011,dam,F,home,0,0_0,GenGen,13
250,22,5.03703703703704,dam,M,home,0,0_0,GenGen,13
251,21,6.72616263964666,sire,F,home,0,0_0,GenGen,13
252,22,7.96296296296296,sire,M,home,0,0_0,GenGen,13
253,22,4.17043387892959,dam,F,home,0,0_0,GenGen,13
254,23,5.22222222222222,dam,M,home,0,0_0,GenGen,13
255,22,6.55416991426345,sire,F,home,0,0_0,GenGen,13
256,23,7.59259259259259,sire,M,home,0,0_0,GenGen,13
257,23,4.16082099246558,dam,F,home,0,0_0,GenGen,13
258,24,5.11111111111111,dam,M,home,0,0_0,GenGen,13
259,23,6.26916082099247,sire,F,home,0,0_0,GenGen,13
260,24,8.03703703703704,sire,M,home,0,0_0,GenGen,13
261,24,4.10340348142375,dam,F,home,0,0_0,GenGen,13
262,25,4.92592592592593,dam,M,home,0,0_0,GenGen,13
263,24,6.32242140815796,sire,F,home,0,0_0,GenGen,13
264,25,7.88888888888889,sire,M,home,0,0_0,GenGen,13
265,25,4.08729540140296,dam,F,home,0,0_0,GenGen,13
266,26,4.88888888888889,dam,M,home,0,0_0,GenGen,13
267,25,6.32346063912705,sire,F,home,0,0_0,GenGen,13
268,26,7.81481481481482,sire,M,home,0,0_0,GenGen,13
269,26,4.09560924915563,dam,F,home,0,0_0,GenGen,13
270,27,5,dam,M,home,0,0_0,GenGen,13
271,26,6.32501948558067,sire,F,home,0,0_0,GenGen,13
272,27,7.92592592592593,sire,M,home,0,0_0,GenGen,13
273,27,4.11483502208366,dam,F,home,0,0_0,GenGen,13
274,28,5,dam,M,home,0,0_0,GenGen,13
275,27,6.30163678877631,sire,F,home,0,0_0,GenGen,13
276,28,7.81481481481482,sire,M,home,0,0_0,GenGen,13
277,28,4.0745648220317,dam,F,home,0,0_0,GenGen,13
278,29,4.96296296296296,dam,M,home,0,0_0,GenGen,13
279,28,6.35593660691089,sire,F,home,0,0_0,GenGen,13
280,29,8.22222222222222,sire,M,home,0,0_0,GenGen,13
281,29,4.10756040530008,dam,F,home,0,0_0,GenGen,13
282,30,5.2,dam,M,home,0,0_0,GenGen,13
283,29,6.42608469732398,sire,F,home,0,0_0,GenGen,13
284,30,8,sire,M,home,0,0_0,GenGen,13
285,30,4.11405559885685,dam,F,home,0,0_0,GenGen,13
286,31,5.15555555555556,dam,M,home,0,0_0,GenGen,13
287,30,6.27097947518836,sire,F,home,0,0_0,GenGen,13
288,31,4,sire,M,home,0,0_0,GenGen,13
289,31,4.09482982592881,dam,F,home,0,0_0,GenGen,13
290,32,4.91111111111111,dam,M,home,0,0_0,GenGen,13
291,31,3.71680956092491,sire,F,home,0,0_0,GenGen,13
292,32,4.02222222222222,sire,M,home,0,0_0,GenGen,13
293,32,4.10210444271239,dam,F,home,0,0_0,GenGen,13
294,33,4.86666666666667,dam,M,home,0,0_0,GenGen,13
295,32,4.03845154585607,sire,F,home,0,0_0,GenGen,13
296,33,3.57777777777778,sire,M,home,0,0_0,GenGen,13
297,33,4.10678098207327,dam,F,home,0,0_0,GenGen,13
298,34,5.31111111111111,dam,M,home,0,0_0,GenGen,13
299,33,3.89451805663809,sire,F,home,0,0_0,GenGen,13
300,34,3.91111111111111,sire,M,home,0,0_0,GenGen,13
301,34,4.08859444011432,dam,F,home,0,0_0,GenGen,13
302,35,4.93333333333333,dam,M,home,0,0_0,GenGen,13
303,34,3.81423746427644,sire,F,home,0,0_0,GenGen,13
304,35,4.13333333333333,sire,M,home,0,0_0,GenGen,13
305,35,4.11197713691868,dam,F,home,0,0_0,GenGen,13
306,36,4.91111111111111,dam,M,home,0,0_0,GenGen,13
307,35,3.7160301376981,sire,F,home,0,0_0,GenGen,13
308,36,3.93333333333333,sire,M,home,0,0_0,GenGen,13
309,36,4.10885944401143,dam,F,home,0,0_0,GenGen,13
310,37,4.97777777777778,dam,M,home,0,0_0,GenGen,13
311,36,3.70018186541959,sire,F,home,0,0_0,GenGen,13
312,37,4.11111111111111,sire,M,home,0,0_0,GenGen,13
313,37,4.08183943881528,dam,F,home,0,0_0,GenGen,13
314,38,4.97777777777778,dam,M,home,0,0_0,GenGen,13
315,37,3.82826708235905,sire,F,home,0,0_0,GenGen,13
316,38,3.84444444444444,sire,M,home,0,0_0,GenGen,13
317,38,4.09482982592881,dam,F,home,0,0_0,GenGen,13
318,39,5.02222222222222,dam,M,home,0,0_0,GenGen,13
319,38,3.75604053000779,sire,F,home,0,0_0,GenGen,13
320,39,4.35555555555556,sire,M,home,0,0_0,GenGen,13
321,39,4.05481943361912,dam,F,home,0,0_0,GenGen,13
322,40,4.95555555555556,dam,M,home,0,0_0,GenGen,13
323,39,3.83060535203949,sire,F,home,0,0_0,GenGen,13
324,40,4.68888888888889,sire,M,home,0,0_0,GenGen,13
325,40,4.08573655494934,dam,F,home,0,0_0,GenGen,13
326,41,4.93333333333333,dam,M,home,0,0_0,GenGen,13
