,Gen,genInt,line,sex,Group,Rep,scenario,strategy
237,36,4.10132501948558,dam,F,home,3,100_100,GenGen
238,37,5.02527075812274,dam,M,home,3,100_100,GenGen
239,36,5.82579890880748,sire,F,home,3,100_100,GenGen
240,37,7.95667870036101,sire,M,home,3,100_100,GenGen
241,37,4.10496232787737,dam,F,home,3,100_100,GenGen
242,38,5.02527075812274,dam,M,home,3,100_100,GenGen
243,37,5.91023642504547,sire,F,home,3,100_100,GenGen
244,38,7.9927797833935,sire,M,home,3,100_100,GenGen
245,38,4.10041569238763,dam,F,home,3,100_100,GenGen
246,39,5.014440433213,dam,M,home,3,100_100,GenGen
247,38,5.87996882307093,sire,F,home,3,100_100,GenGen
248,39,8.08303249097473,sire,M,home,3,100_100,GenGen
249,58,4.10756040530008,dam,F,home,3,100_100,GenGen
250,59,4.97391304347826,dam,M,home,3,100_100,GenGen
251,58,3.82592881267862,sire,F,home,3,100_100,GenGen
252,59,3.86666666666667,sire,M,home,3,100_100,GenGen
253,19,1,dam,F,import,3,100_100,GenGen
254,20,1,dam,M,import,3,100_100,GenGen
255,19,1,sire,F,import,3,100_100,GenGen
256,20,1,sire,M,import,3,100_100,GenGen
257,20,1,dam,F,import,3,100_100,GenGen
258,21,5.014440433213,dam,M,import,3,100_100,GenGen
259,20,1,sire,F,import,3,100_100,GenGen
260,21,7.95667870036101,sire,M,import,3,100_100,GenGen
261,21,4.20122109638867,dam,F,import,3,100_100,GenGen
262,22,4.96028880866426,dam,M,import,3,100_100,GenGen
263,21,6.20239023122889,sire,F,import,3,100_100,GenGen
264,22,8.07581227436823,sire,M,import,3,100_100,GenGen
265,22,4.18602234346584,dam,F,import,3,100_100,GenGen
266,23,5.02166064981949,dam,M,import,3,100_100,GenGen
267,22,6.26955053260587,sire,F,import,3,100_100,GenGen
268,23,8.014440433213,sire,M,import,3,100_100,GenGen
269,23,4.16250974279034,dam,F,import,3,100_100,GenGen
270,24,4.985559566787,dam,M,import,3,100_100,GenGen
271,23,5.89607690309171,sire,F,import,3,100_100,GenGen
272,24,7.86281588447653,sire,M,import,3,100_100,GenGen
273,24,4.0984671343206,dam,F,import,3,100_100,GenGen
274,25,5.05415162454874,dam,M,import,3,100_100,GenGen
275,24,5.94557027799428,sire,F,import,3,100_100,GenGen
276,25,8.04693140794224,sire,M,import,3,100_100,GenGen
277,25,4.05118212522733,dam,F,import,3,100_100,GenGen
278,26,4.97833935018051,dam,M,import,3,100_100,GenGen
279,25,5.87737074564822,sire,F,import,3,100_100,GenGen
280,26,7.96028880866426,sire,M,import,3,100_100,GenGen
281,26,4.06443232008314,dam,F,import,3,100_100,GenGen
282,27,4.97472924187726,dam,M,import,3,100_100,GenGen
283,26,5.97440893738633,sire,F,import,3,100_100,GenGen
284,27,8.14801444043321,sire,M,import,3,100_100,GenGen
285,27,4.13159262146012,dam,F,import,3,100_100,GenGen
286,28,5.03249097472924,dam,M,import,3,100_100,GenGen
287,27,5.88204728500909,sire,F,import,3,100_100,GenGen
288,28,8.04332129963899,sire,M,import,3,100_100,GenGen
289,28,4.11262665627436,dam,F,import,3,100_100,GenGen
290,29,4.95667870036101,dam,M,import,3,100_100,GenGen
291,28,5.79098467134321,sire,F,import,3,100_100,GenGen
292,29,7.92418772563177,sire,M,import,3,100_100,GenGen
293,29,4.12613665887244,dam,F,import,3,100_100,GenGen
294,30,4.985559566787,dam,M,import,3,100_100,GenGen
295,29,5.79488178747727,sire,F,import,3,100_100,GenGen
296,30,8,sire,M,import,3,100_100,GenGen
297,30,4.13211223694466,dam,F,import,3,100_100,GenGen
298,31,4.99638989169675,dam,M,import,3,100_100,GenGen
299,30,5.73044946739413,sire,F,import,3,100_100,GenGen
300,31,7.94584837545126,sire,M,import,3,100_100,GenGen
301,31,4.07989088074825,dam,F,import,3,100_100,GenGen
302,32,5.01083032490975,dam,M,import,3,100_100,GenGen
303,31,5.96050922317485,sire,F,import,3,100_100,GenGen
304,32,7.9783393501805,sire,M,import,3,100_100,GenGen
305,32,4.07820213042349,dam,F,import,3,100_100,GenGen
306,33,4.94945848375451,dam,M,import,3,100_100,GenGen
307,32,5.94154325798909,sire,F,import,3,100_100,GenGen
308,33,7.87364620938628,sire,M,import,3,100_100,GenGen
309,33,4.09677838399584,dam,F,import,3,100_100,GenGen
310,34,4.97472924187726,dam,M,import,3,100_100,GenGen
311,33,5.89633671083398,sire,F,import,3,100_100,GenGen
312,34,7.7942238267148,sire,M,import,3,100_100,GenGen
313,34,4.08846453624318,dam,F,import,3,100_100,GenGen
314,35,4.95306859205776,dam,M,import,3,100_100,GenGen
