Generation,Group,YearEBV,EBVi,EBVh
1,home,25,-0.0133432902252512,0.308981136210003
1,import,25,-0.0119302601959875,0.345087130763076
2,home,25,-0.0300869613339477,0.0624244552609146
2,import,25,-0.0332219913955111,0.0710266727759042
3,home,25,-0.0477497674092486,0.315248046449711
3,import,25,-0.0484297182004635,0.328555303114716
4,home,25,-0.0416832772982375,0.00648464889030612
4,import,25,-0.0440889883548983,0.0242482759011091
5,home,25,7.25565954216302e-05,-0.0126437352441018
5,import,25,-0.00782780227116311,-0.0173373337978894
6,home,25,-0.118615548225362,-0.0611496954295888
6,import,25,-0.112855383136226,-0.0681072301154654
7,home,25,-0.101007714929953,0.075238533043881
7,import,25,-0.118354989540669,0.0571598769582321
8,home,25,-0.271435317405349,0.444520856768554
8,import,25,-0.271992890283466,0.440619471469397
9,home,25,-0.859838902437667,0.343838425953844
9,import,25,-0.839635621688807,0.352411500751993
10,home,25,-1.47285914246906,0.56380406461663
10,import,25,-1.48762795200162,0.557780167785243
11,home,25,-2.1714174202384,0.599140141246113
11,import,25,-2.16205060947656,0.585228438021403
12,home,25,-2.68496911398467,0.402144302144517
12,import,25,-2.68177572472094,0.418149164154751
13,home,25,-3.02274122715604,0.304989849772806
13,import,25,-3.03533878617261,0.323208448941805
14,home,25,-3.24921669692326,0.207983451415536
14,import,25,-3.25346155674645,0.219703281085662
15,home,25,-3.06084339222515,0.503457166746532
15,import,25,-3.0522854874255,0.493109671883838
16,home,25,-2.46203427345013,0.789939883519624
16,import,25,-2.86529356497381,0.435992259956109
17,home,25,-1.46020301562983,1.36136053006826
17,import,25,-1.42918984483501,0.830231491180118
18,home,25,-1.60036345154661,1.32123665918121
18,import,25,-1.73314187699114,0.764561782336863
19,home,25,-1.78217401040021,1.4146361341643
19,import,25,-1.52614231431085,0.73964245049711
20,home,25,-1.71701285828249,1.67231726622295
20,import,25,-1.39954061507621,0.853284987763546
21,home,25,-1.7115855404695,1.94620742063928
21,import,25,-1.39710360273714,0.911108514828121
22,home,25,0.00636317890643373,0.0253190925902906
22,import,25,-0.745644303143816,0.527913212229187
23,home,25,-0.00401066922720962,-0.128366243833873
23,import,25,-0.0038202540921723,-0.138053888813108
24,home,25,-0.0016451784542917,0.0794411929169574
24,import,25,-0.001183308010827,0.0870450861702373
25,home,25,-0.0107847577690258,-0.130223960699641
25,import,25,-0.0104963067873251,-0.129449631932462
1,home,26,-0.0126517286404066,0.308966269591082
1,import,26,-0.0111633669848081,0.345070727671344
2,home,26,-0.0300724470107131,0.0623792024789771
2,import,26,-0.0340458726468194,0.0709834600127922
3,home,26,-0.0535278763953757,0.315245617551445
3,import,26,-0.0543201088655852,0.32856136807416
4,home,26,-0.0315646756551484,0.00654597689239332
4,import,26,-0.0348821527703327,0.0243204199168207
5,home,26,-0.0115296006085027,-0.0126839995655221
5,import,26,-0.0192686510243175,-0.0173710124959853
6,home,26,-0.137050458505628,-0.0610314823064553
6,import,26,-0.132658825587824,-0.0679825677665034
7,home,26,-0.0902061963563737,0.075537352084057
7,import,26,-0.107102503281268,0.0575173498704154
8,home,26,-0.291782435543592,0.444187200394813
