scenario,Group,Generation,gvNormUnres1,gvNormUnres3
50_50,import,43,9.384450320436663,10.800892058383335
50_50,import,44,9.386758479523333,10.92745505006
50_50,import,45,9.90374663333,11.472339813690002
50_50,import,46,10.435376811703334,11.881876526656663
50_50,import,47,10.18140855630667,12.104733598083335
50_50,import,48,10.800941305890001,12.286908660103334
50_50,import,49,10.464862329030002,12.119986927496667
50_50,import,50,11.348964863493332,13.479048515096666
50_50,import,51,11.439380846866662,13.131533425610002
50_50,import,52,11.533310771939998,13.525496983919998
50_50,import,53,11.938150838223333,13.941319784993338
50_50,import,54,12.002826613133331,14.37571594658
50_50,import,55,12.332101977223337,14.414250555380002
50_50,import,56,12.480007859179999,15.14576596768667
50_50,import,57,12.740057086256668,15.147938969096664
50_50,import,58,13.15898467906,15.421615408583332
