scenario,Generation,Group,EBV,gvNormUnres1,gvNormUnres3
0_100,18,home,-8.550870710731472,1.1402237434728717,0.6764634879710877
0_100,18,import,-3.5222308188888904,1.1153407598637604,0.6762301866301981
0_100,19,home,-8.785903332430546,0.9203941435739603,0.36263539448557947
0_100,19,import,-3.6314110785856473,0.9490500254488627,0.369442461138182
0_100,20,home,-9.017084302628435,0.7675692452087368,0.1642379376888781
0_100,20,import,-4.279173819803254,0.7233420375348169,0.13472011180971016
0_100,21,home,-6.751351789428255,2.6423071780408884,2.6899421217445583
0_100,21,import,-2.7688606151909676,2.3098468414291453,1.8036855852183933
0_100,22,home,-7.061231031997682,2.531684249564269,2.4156960663185627
0_100,22,import,-2.7934504506446776,2.3083933456530903,1.6742084225498166
0_100,23,home,-6.612521767400466,2.7843654072847412,2.7329239988478986
0_100,23,import,-2.823785735541666,2.323684720629875,1.6656244250526409
0_100,24,home,-6.24360946889697,3.1299039155653103,3.1439308422255325
0_100,24,import,-2.595613185803245,2.5805338524132617,1.9330646723240752
0_100,25,home,-6.087456154726853,3.2900036925906484,3.369286877453175
0_100,25,import,-2.182562593173608,2.9538716107018463,2.1966776106786816
0_100,26,home,-5.879246853122666,3.488390603135165,3.5657297833939996
0_100,26,import,-2.1072496081284715,3.034550869655077,2.2616320496245956
0_100,27,home,-5.459425327650483,3.761621450612266,3.955094963138414
0_100,27,import,-2.0542123973171282,3.087610973454138,2.250798248860963
0_100,28,home,-5.214158249825242,4.040208473648129,4.2377586588167215
0_100,28,import,-1.8316454812430614,3.3476195609139077,2.467521657975544
0_100,29,home,-4.883803405748823,4.286641005939054,4.556171313989105
0_100,29,import,-1.6104077567719957,3.555859301943148,2.6147060906079145
0_100,30,home,-4.577972170211829,4.58674174681901,4.878336794271391
0_100,30,import,-1.6545254131504585,3.5319987479227026,2.6047686602624474
0_100,31,home,-4.267460082269671,4.832772987042155,5.202458348194884
0_100,31,import,-1.3325690399571717,3.83997266370518,2.8831537744860034
0_100,32,home,-3.9838230598229174,5.053723309850196,5.468182047748148
0_100,32,import,-1.1708054092025482,4.009068714448702,3.009358587237096
0_100,33,home,-3.7074822459895937,5.2902962183588045,5.748468862493571
0_100,33,import,-0.836401026480322,4.243520757828526,3.1660811104186966
0_100,34,home,-3.460614589052076,5.475239127856756,5.987122912363807
0_100,34,import,-0.6218986838321742,4.49395091467819,3.296368807261215
0_100,35,home,-3.188943520464126,5.703430498057741,6.334393801897587
0_100,35,import,-0.22070566179398166,4.866108310518071,3.542880962452254
0_100,36,home,-2.8911232878599256,5.995299995939937,6.628602765043571
0_100,36,import,-0.0554528561157407,5.065462022548664,3.7714683740851727
0_100,37,home,-2.65844723468172,6.2304055590412295,6.9232453191587275
0_100,37,import,0.11509668260069426,5.195467443941859,3.777055472521899
0_100,38,home,-2.385236035643517,6.468519341562854,7.182105293654339
0_100,38,import,0.2560137886377313,5.397295978439385,3.9763684641482255
0_100,39,home,-2.1603898083715456,6.760265358476261,7.466373117934085
0_100,39,import,0.5923922993819457,5.673444843645917,4.2404051062389945
0_100,40,home,-1.9479481405347219,6.938293751671073,7.71876843620508
0_100,40,import,0.8065689537048594,5.866707888359323,4.4003980015251285
0_100,41,home,-1.6895248969409769,7.017813654449418,7.902118017806549
0_100,41,import,0.9492450705057898,6.065039447244293,4.604043966235023
0_100,42,home,-1.5278364456111098,7.207164899626142,8.10235102116542
0_100,42,import,1.048971437365737,6.174873708729863,4.695677635541669
0_100,43,home,-1.2823819613402765,7.405516917002861,8.320168553221317
0_100,43,import,1.400315259114591,6.513476986545578,5.023728646088307
0_100,44,home,-0.9744928788553285,7.648545664254558,8.607652754533982
0_100,44,import,1.7661520368692156,6.888215935195396,5.46446991338002
0_100,45,home,-0.7609405623379623,7.83741367122838,8.842695549164446
0_100,45,import,2.2282481091111035,7.387407398435624,6.044336398723656
0_100,46,home,-0.4006121430231488,8.105269620842556,9.178139646629775
0_100,46,import,2.6581873709583275,7.78636871996744,6.5944180483048225
0_100,47,home,-0.07220116699074032,8.406795649720591,9.545331020718324
0_100,47,import,3.06950030113426,8.194921855683019,7.19039658536955
0_100,48,home,0.1899807873344899,8.628555571478664,9.785770569241766
0_100,48,import,3.4189683454722277,8.569797083973821,7.601392819260516
0_100,49,home,0.572355407493055,8.968336255656483,10.17216144516654
0_100,49,import,3.8356338254525384,8.960691656124629,8.021207165515108
0_100,50,home,0.8677238034074058,9.217451604326408,10.458811305120069
0_100,50,import,4.066277418221081,9.170269555107273,8.32585008316421
0_100,51,home,1.1808997069374967,9.490852463069182,10.757864699015482
0_100,51,import,4.378919650578688,9.48788275109977,8.685398324567506
0_100,52,home,1.5085703117858762,9.761780505695308,11.101883338050506
0_100,52,import,4.807571767528942,9.896619987078322,9.090272395666922
0_100,53,home,1.8210476909455968,9.989354305610473,11.423003495886187
0_100,53,import,5.07556472526504,10.156653818166228,9.406317005086253
