,Category,EBVGen,Cor,Group,Scenario,Rep,Generation
0,Fathers,EBV48,0.8075397134356572,home,10_10,0,48
1,Female candidates,EBV48,0.3691254970073043,home,10_10,0,48
2,Male candidates,EBV48,0.6738088734115605,home,10_10,0,48
3,Mothers,EBV48,0.7003531168573285,home,10_10,0,48
0,Fathers,EBV49,0.6953375100847997,home,10_10,0,49
1,Female candidates,EBV49,0.4198754938530691,home,10_10,0,49
2,Male candidates,EBV49,0.8005898708991345,home,10_10,0,49
3,Mothers,EBV49,0.7035435268197229,home,10_10,0,49
0,Fathers,EBV50,0.6245705495894879,home,10_10,0,50
1,Female candidates,EBV50,0.34650152640900483,home,10_10,0,50
2,Male candidates,EBV50,0.7176572434734415,home,10_10,0,50
3,Mothers,EBV50,0.6985351658718028,home,10_10,0,50
0,Fathers,EBV51,0.7026259638460155,home,10_10,0,51
1,Female candidates,EBV51,0.3620909689278713,home,10_10,0,51
2,Male candidates,EBV51,0.7590222609756548,home,10_10,0,51
3,Mothers,EBV51,0.7031855887109387,home,10_10,0,51
0,Fathers,EBV52,0.7376222939197566,home,10_10,0,52
1,Female candidates,EBV52,0.37632979934851557,home,10_10,0,52
2,Male candidates,EBV52,0.6179483082082656,home,10_10,0,52
3,Mothers,EBV52,0.6903919311067901,home,10_10,0,52
0,Fathers,EBV53,0.7069097299384867,home,10_10,0,53
1,Female candidates,EBV53,0.38065080954552666,home,10_10,0,53
2,Male candidates,EBV53,0.6332031332004391,home,10_10,0,53
3,Mothers,EBV53,0.6868311028125665,home,10_10,0,53
0,Fathers,EBV54,0.788521043326887,home,10_10,0,54
1,Female candidates,EBV54,0.4042169836794856,home,10_10,0,54
2,Male candidates,EBV54,0.7414179032859591,home,10_10,0,54
3,Mothers,EBV54,0.6821885710119808,home,10_10,0,54
0,Fathers,EBV55,0.8168913678457029,home,10_10,0,55
1,Female candidates,EBV55,0.41365369246462463,home,10_10,0,55
2,Male candidates,EBV55,0.6266517357776639,home,10_10,0,55
3,Mothers,EBV55,0.6978953531146262,home,10_10,0,55
0,Fathers,EBV56,0.7327810832581216,home,10_10,0,56
1,Female candidates,EBV56,0.40833618050944587,home,10_10,0,56
2,Male candidates,EBV56,0.6853938007741941,home,10_10,0,56
3,Mothers,EBV56,0.6994347885368364,home,10_10,0,56
0,Fathers,EBV57,0.6972150965457489,home,10_10,0,57
1,Female candidates,EBV57,0.3703517787671302,home,10_10,0,57
2,Male candidates,EBV57,0.7305442662847905,home,10_10,0,57
3,Mothers,EBV57,0.6920788805102802,home,10_10,0,57
0,Fathers,EBV58,0.7061572082695017,home,10_10,0,58
1,Female candidates,EBV58,0.375612771668204,home,10_10,0,58
2,Male candidates,EBV58,0.821990306707933,home,10_10,0,58
3,Mothers,EBV58,0.6939444009516664,home,10_10,0,58
0,Fathers,EBV59,0.749732855018406,home,10_10,0,59
1,Female candidates,EBV59,0.3413119925182296,home,10_10,0,59
2,Male candidates,EBV59,0.6877397489687714,home,10_10,0,59
3,Mothers,EBV59,0.6854024382048084,home,10_10,0,59
0,Fathers,EBV60,0.8537104099395106,home,10_10,0,60
1,Female candidates,EBV60,0.3484636690729058,home,10_10,0,60
2,Male candidates,EBV60,0.7436873176721225,home,10_10,0,60
3,Mothers,EBV60,0.6743554558411143,home,10_10,0,60
4,izl,EBV60,0.01389050624698765,home,10_10,0,60
0,Fathers,EBV21,0.07458831757241359,import,10_10,0,21
1,Female candidates,EBV21,0.3466603494177057,import,10_10,0,21
2,Male candidates,EBV21,0.19724755724036988,import,10_10,0,21
3,Male candidates1,EBV21,0.27685602845667806,import,10_10,0,21
4,Mothers,EBV21,0.6513814375782011,import,10_10,0,21
0,Fathers,EBV22,0.03544015349712343,import,10_10,0,22
1,Female candidates,EBV22,0.3182451813721669,import,10_10,0,22
2,Male candidates,EBV22,0.18206773166902704,import,10_10,0,22
3,Male candidates1,EBV22,0.051493983928543534,import,10_10,0,22
4,Mothers,EBV22,0.5913579023294302,import,10_10,0,22
0,Fathers,EBV23,0.057921911867070984,import,10_10,0,23
1,Female candidates,EBV23,0.40955109842984866,import,10_10,0,23
2,Male candidates,EBV23,0.06358710812721043,import,10_10,0,23
3,Male candidates1,EBV23,0.04381032146488817,import,10_10,0,23
4,Mothers,EBV23,0.5703696325088465,import,10_10,0,23
0,Fathers,EBV24,0.3031016698938472,import,10_10,0,24
1,Female candidates,EBV24,0.21996625835282455,import,10_10,0,24
