Generation variable Group value sd var SDSt zMean scenario Rep Import
39 gvNormUnres1 home 4.65852493020481 1.49624452307151 2.2387476728215 0.958676597724852 2.82175077596776 Class 0 100
40 gvNormUnres1 home 4.82524825999845 1.49686873772 2.24061601796346 0.959076545705435 2.92857406060028 Class 0 100
20 gvNormUnres3 home 0.137250231263345 1.57767080094146 2.48904515614326 1 0 Class 0 100
21 gvNormUnres3 home 1.20537806119044 1.54988660190304 2.40214847875856 0.98238910232614 0.677028331442593 Class 0 100
22 gvNormUnres3 home 1.09328877435373 1.50255499263305 2.25767150588649 0.952388160911904 0.605981008534782 Class 0 100
23 gvNormUnres3 home 1.18594530575398 1.53931688062458 2.3694964589758 0.975689528960043 0.664710961161758 Class 0 100
24 gvNormUnres3 home 1.33874646328042 1.51287349372843 2.28878620802607 0.958928499421831 0.761563332033585 Class 0 100
25 gvNormUnres3 home 1.53704798014002 1.58198830123174 2.50268698523407 1.0027366293955 0.887255914251163 Class 0 100
26 gvNormUnres3 home 1.56709714940572 1.54274389522314 2.38005872624828 0.977861727746073 0.906302453774974 Class 0 100
27 gvNormUnres3 home 1.7207812836651 1.59229200920461 2.53539384257687 1.00926759134696 1.00371449573435 Class 0 100
28 gvNormUnres3 home 1.98863794480829 1.58588293347799 2.51502467869677 1.00520522566028 1.1734943135413 Class 0 100
29 gvNormUnres3 home 1.98430832189464 1.56523143941758 2.44994945894122 0.992115363029817 1.17075000027197 Class 0 100
30 gvNormUnres3 home 2.34819765965913 1.60147980255404 2.56473755798854 1.01509123550894 1.401399726151 Class 0 100
31 gvNormUnres3 home 2.35138204503045 1.53259758106082 2.34885534547348 0.971430529199284 1.40341813542207 Class 0 100
32 gvNormUnres3 home 2.65378991775157 1.55483680270294 2.41751748303949 0.985526766277924 1.5950980933326 Class 0 100
33 gvNormUnres3 home 2.82004670039139 1.53899747529312 2.36851322895859 0.975487075234413 1.70047925557544 Class 0 100
34 gvNormUnres3 home 3.02575193896288 1.52740196780494 2.33295677125439 0.968137311594709 1.83086465565304 Class 0 100
35 gvNormUnres3 home 3.17290556820803 1.49173310257514 2.22526764931846 0.945528751425816 1.92413736448262 Class 0 100
36 gvNormUnres3 home 3.25003526100738 1.52116129620198 2.3139316890629 0.964181688153351 1.973025695783 Class 0 100
37 gvNormUnres3 home 3.42238844218412 1.48972109639485 2.21926894504387 0.944253449772837 2.08227103459125 Class 0 100
38 gvNormUnres3 home 3.65204576257406 1.49055568626518 2.22175625385746 0.944782451051071 2.22783836096434 Class 0 100
39 gvNormUnres3 home 3.83388456560067 1.54073069324525 2.37385106910798 0.976585668141815 2.34309612127663 Class 0 100
40 gvNormUnres3 home 3.95652862747516 1.4919143098172 2.22580830783733 0.945643608873863 2.42083354393876 Class 0 100
20 gvNormUnres1 import 0.285076870255752 1.57332059313932 2.47533768879627 1 0 Class 0 100
21 gvNormUnres1 import 1.93270065013182 1.46764478370458 2.15398121113527 0.932832628076215 1.04722698416378 Class 0 100
22 gvNormUnres1 import 1.76533152062076 1.4797924764006 2.18978577321183 0.940553681718423 0.94084743873554 Class 0 100
23 gvNormUnres1 import 2.08831753531047 1.4558891621949 2.11961325259657 0.925360774239848 1.14613682228403 Class 0 100
24 gvNormUnres1 import 2.332860701225 1.50944097379394 2.27841205336799 0.959398218250023 1.30156805923655 Class 0 100
25 gvNormUnres1 import 2.54678909493427 1.49497009799612 2.23493559390254 0.950200553221729 1.4375405969648 Class 0 100
26 gvNormUnres1 import 2.77483268405917 1.47246798601056 2.168161969826 0.93589824758632 1.5824847298512 Class 0 100
27 gvNormUnres1 import 2.95808652206581 1.45349258716065 2.11264070093095 0.923837515061329 1.69896057006187 Class 0 100
28 gvNormUnres1 import 3.20769750492675 1.48248846379346 2.19777204528069 0.942267246903174 1.85761290319054 Class 0 100
29 gvNormUnres1 import 3.46234631077331 1.50399443106998 2.26199924868952 0.955936404588075 2.01946726838285 Class 0 100
30 gvNormUnres1 import 3.66096241815795 1.46984490698176 2.16044405058021 0.934231022838711 2.14570734192586 Class 0 100
31 gvNormUnres1 import 3.87962385249873 1.45806421437526 2.12595125324174 0.926743233854145 2.28468819255115 Class 0 100
32 gvNormUnres1 import 4.09468255209088 1.45098717643479 2.10536378617821 0.92224508009494 2.42137915085293 Class 0 100
33 gvNormUnres1 import 4.25923841042957 1.45514301433265 2.11744119216112 0.924886523876952 2.52597058571768 Class 0 100
34 gvNormUnres1 import 4.44774327030587 1.44600774527494 2.09093839939511 0.91908016178041 2.64578396685455 Class 0 100
35 gvNormUnres1 import 4.61817683184337 1.46599492436949 2.1491411182771 0.931783980176803 2.75411126027504 Class 0 100
36 gvNormUnres1 import 4.90637817488552 1.45144171381181 2.10668304859297 0.922533983309581 2.93729156332255 Class 0 100
