Strategy,Scenario,Group,Gen,Cat,Cor
ClassGen,0_100,import,22,Female candidates,0.08761966654494414
ClassGen,0_100,import,22,Male candidates,0.22023301924309324
ClassGen,0_100,import,22,Male candidates1,0.03624787827932
ClassGen,0_100,import,22,Mothers,0.27146346646010233
ClassGen,0_100,import,23,Fathers,-0.11673948664794921
ClassGen,0_100,import,23,Female candidates,0.14627344716450932
ClassGen,0_100,import,23,Male candidates,0.3237126525606833
ClassGen,0_100,import,23,Male candidates1,0.08787018467223483
ClassGen,0_100,import,23,Mothers,0.32852609109190367
ClassGen,0_100,import,24,Fathers,0.05075692565901577
ClassGen,0_100,import,24,Female candidates,0.23103802334619794
ClassGen,0_100,import,24,Male candidates,0.16015950800387446
ClassGen,0_100,import,24,Male candidates1,-0.0945700340340683
ClassGen,0_100,import,24,Mothers,0.337912270558776
ClassGen,0_100,import,25,Fathers,-0.23069426346276384
ClassGen,0_100,import,25,Female candidates,0.17450027514096125
ClassGen,0_100,import,25,Male candidates,0.5293524028502384
ClassGen,0_100,import,25,Male candidates1,0.0811022300849259
ClassGen,0_100,import,25,Mothers,0.2887390453858835
ClassGen,0_100,import,26,Fathers,0.05829308464482301
ClassGen,0_100,import,26,Female candidates,0.10472980364378234
ClassGen,0_100,import,26,Male candidates,0.14081670421583392
ClassGen,0_100,import,26,Male candidates1,-0.031735775490938964
ClassGen,0_100,import,26,Mothers,0.26298253701877256
ClassGen,0_100,import,27,Fathers,0.02272080302445461
ClassGen,0_100,import,27,Female candidates,0.06942815311400538
ClassGen,0_100,import,27,Male candidates,0.1350508970670882
ClassGen,0_100,import,27,Male candidates1,0.10834417640553556
ClassGen,0_100,import,27,Mothers,0.21827965568793883
ClassGen,0_100,import,28,Fathers,-0.12019870257051495
ClassGen,0_100,import,28,Female candidates,-0.02374791557707069
ClassGen,0_100,import,28,Male candidates,0.16228944251701574
ClassGen,0_100,import,28,Male candidates1,-0.06418040608408092
ClassGen,0_100,import,28,Mothers,0.1429311506756514
ClassGen,0_100,import,29,Fathers,-0.12507019583078596
ClassGen,0_100,import,29,Female candidates,-0.028056909464463986
ClassGen,0_100,import,29,Male candidates,0.05845030865069618
ClassGen,0_100,import,29,Male candidates1,-0.049128658942814527
ClassGen,0_100,import,29,Mothers,0.1049629655300555
ClassGen,0_100,import,30,Fathers,-0.3847108019628472
ClassGen,0_100,import,30,Female candidates,-0.11326082123009262
ClassGen,0_100,import,30,Male candidates,0.05678320347160816
ClassGen,0_100,import,30,Male candidates1,-0.0902528957136858
