Generation Group variable value sd var SDSt zMean Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
23 home gvNormUnres3 1.66562442505264 1.49945494161611 2.24836512193698 1.01098904180146 1.03219339359878 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
24 home gvNormUnres3 1.93306467232407 1.47827377084118 2.18529334155699 0.996707898066057 1.21251168915001 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
25 home gvNormUnres3 2.19667761067868 1.50871273267778 2.27621410974405 1.01723099349662 1.39024946876368 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
26 home gvNormUnres3 2.26163204962459 1.49534159857135 2.23604649641793 1.00821567087313 1.43404419988105 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
27 home gvNormUnres3 2.25079824886097 1.47471251462735 2.17477700079851 0.99430676488939 1.42673964303903 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
28 home gvNormUnres3 2.46752165797554 1.49803496219862 2.24410874796943 1.01003163815376 1.57286273459424 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
29 home gvNormUnres3 2.61470609060791 1.48607486156414 2.20841849417288 1.00196768748428 1.67210002701645 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
30 home gvNormUnres3 2.60476866026244 1.48229279922466 2.19719194263329 0.999417678494679 1.66539983689797 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
31 home gvNormUnres3 2.88315377448601 1.46825461332823 2.15577160955962 0.989952604410644 1.85309757430202 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
32 home gvNormUnres3 3.00935858723709 1.47333831002192 2.17072577577824 0.993380224345407 1.93818961619855 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
33 home gvNormUnres3 3.16608111041869 1.49236699816475 2.22715925721125 1.00621008315498 2.04385784879599 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
34 home gvNormUnres3 3.2963688072612 1.4782397771034 2.18519283861071 0.996684978206693 2.1317027250464 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
35 home gvNormUnres3 3.54288096245225 1.5008569334315 2.25257153462941 1.01193431752981 2.29791051205758 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
36 home gvNormUnres3 3.77146837408517 1.47559468289843 2.17737966819812 0.994901555990034 2.45203276131008 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
37 home gvNormUnres3 3.7770554725219 1.46656081958863 2.15080063755248 0.988810584825878 2.45579979367513 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
38 home gvNormUnres3 3.97636846414823 1.467055612164 2.15225216918188 0.989144192630802 2.59018412549487 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
39 home gvNormUnres3 4.24040510623897 1.41320100795564 1.99713708888683 0.952833388488517 2.76820758213844 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
40 home gvNormUnres3 4.40039800152514 1.45428237270667 2.11493721956534 0.98053199311666 2.87608082288156 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
41 home gvNormUnres3 6.18602391889769 1.5173746833964 2.30242592981233 1.02307120717301 4.08001712341129 SU55 GenGen 4 2.64391939435429 3 1.62601334384263 NA NA NA NA NA NA NA 100_100
42 home gvNormUnres3 6.28290464162579 1.55294247469243 2.41163032970384 1.04705235275022 4.14533775847776 SU55 GenGen 4 2.63491461506987 3 1.62324200754843 NA NA NA NA NA NA NA 100_100
43 home gvNormUnres3 6.61715331860454 1.49309038362888 2.22931889368503 1.00669781690206 4.37070081560166 SU55 GenGen 4 2.63212187524411 3 1.62238154428732 NA NA NA NA NA NA NA 100_100
44 home gvNormUnres3 7.23407354334168 1.56403904199317 2.44621812487892 1.05453407669624 4.7866516851908 SU55 GenGen 4 2.62741712769202 3 1.62093094476354 NA NA NA NA NA NA NA 100_100
45 home gvNormUnres3 7.63145327764377 1.59632027469179 2.54823841939206 1.07629930058417 5.05458008081194 SU55 GenGen 4 2.62252910699433 3 1.61942246093919 NA NA NA NA NA NA NA 100_100
46 home gvNormUnres3 8.09398568138278 1.54912307376929 2.3997822976844 1.04447716868008 5.36643686201953 SU55 GenGen 4 2.62019871162905 3 1.61870278668724 NA NA NA NA NA NA NA 100_100
47 home gvNormUnres3 8.74268720393883 1.50211004154999 2.25633457692531 1.0127792102577 5.80381588055625 SU55 GenGen 4 2.61289878083942 3 1.61644634332211 NA NA NA NA NA NA NA 100_100
48 home gvNormUnres3 9.02953038873669 1.51012395798179 2.28047436847059 1.01818249479104 5.99721636795837 SU55 GenGen 4 2.60697883123506 3 1.61461414314227 NA NA NA NA NA NA NA 100_100
49 home gvNormUnres3 9.39906933379886 1.49613757193312 2.23842763414992 1.0087523461169 6.24637345404864 SU55 GenGen 4 2.60449727776382 3 1.61384549377065 NA NA NA NA NA NA NA 100_100
50 home gvNormUnres3 9.81363351670166 1.49262553409204 2.22793098502354 1.00638439782237 6.52588825266365 SU55 GenGen 4 2.60335369654221 3 1.61349115167769 NA NA NA NA NA NA NA 100_100
51 home gvNormUnres3 10.1772220185512 1.46675191276571 2.15136117360186 0.988939427048891 6.7710333256451 SU55 GenGen 4 2.59457916108534 3 1.61076974179593 NA NA NA NA NA NA NA 100_100
52 home gvNormUnres3 10.455733846645 1.46349647784672 2.14182194066976 0.986744490116777 6.95881649831684 SU55 GenGen 4 2.59252728371003 3 1.61013269133635 NA NA NA NA NA NA NA 100_100
53 home gvNormUnres3 10.9190718190684 1.464988857187 2.14619235168206 0.987750708521449 7.27121642429637 SU55 GenGen 4 2.58011309108099 3 1.60627304375097 NA NA NA NA NA NA NA 100_100
54 home gvNormUnres3 11.319551979199 1.45637010377492 2.12101387916938 0.981939620097408 7.54123524387796 SU55 GenGen 4 2.57349635655696 3 1.60421206720214 NA NA NA NA NA NA NA 100_100
55 home gvNormUnres3 11.5853219786018 1.44081371653253 2.0759441657483 0.971450917439145 7.72042739535811 SU55 GenGen 4 2.57022337139769 3 1.60319162029924 NA NA NA NA NA NA NA 100_100
56 home gvNormUnres3 11.9940551315395 1.44222929442466 2.08002533769665 0.972405353412534 7.99601069377694 SU55 GenGen 4 2.56758703985972 3 1.60236919586583 NA NA NA NA NA NA NA 100_100
57 home gvNormUnres3 12.3994324251767 1.43380348897822 2.05579244500611 0.966724357779866 8.26933134536031 SU55 GenGen 4 2.55532377074863 3 1.59853801041722 NA NA NA NA NA NA NA 100_100
58 home gvNormUnres3 12.7320695273525 1.47760204693281 2.18330780910004 0.996254996487206 8.49360781800562 SU55 GenGen 4 2.55611136447385 3 1.59878433957612 NA NA NA NA NA NA NA 100_100
59 home gvNormUnres3 13.1461362259888 1.45045394449261 2.10381664509416 0.97795072250671 8.77278719397613 SU55 GenGen 4 2.54797801867255 3 1.59623870980269 NA NA NA NA NA NA NA 100_100
20 import gvNormUnres1 0.767569245208738 1.51695379379857 2.30114881251986 1 0 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
21 import gvNormUnres1 2.6423071780409 1.46660794212757 2.15093885591168 0.966811216085282 1.23585697896419 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
22 import gvNormUnres1 2.53168424956427 1.51538213016605 2.29638300042659 0.99896393440661 1.16293259001519 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
