Generation Group variable value sd var SDSt zMean Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
51 home gvNormUnres1 8.16362815569881 1.48347318179144 2.20069268109441 0.950582571236876 5.06584843251592 SU55 GenGen 0 2.53647467121824 1 1.59263136702071 NA NA NA NA NA NA NA 100_100
52 home gvNormUnres1 8.39618028765723 1.48081509618445 2.19281334908776 0.94887931843671 5.21486359925908 SU55 GenGen 0 2.52714708778798 1 1.58970031382899 NA NA NA NA NA NA NA 100_100
53 home gvNormUnres1 8.66192966877095 1.45688346623451 2.12250943418747 0.933544366237416 5.38515095807646 SU55 GenGen 0 2.51618304519696 1 1.58624810329184 NA NA NA NA NA NA NA 100_100
54 home gvNormUnres1 8.92921872557038 1.4638294138829 2.14279655294876 0.937995202866167 5.55642491300503 SU55 GenGen 0 2.51525855791823 1 1.58595666962191 NA NA NA NA NA NA NA 100_100
55 home gvNormUnres1 9.22086918900754 1.50254453766058 2.25764008765365 0.962803148407791 5.74330921319961 SU55 GenGen 0 2.49609839497878 1 1.57990455249005 NA NA NA NA NA NA NA 100_100
56 home gvNormUnres1 9.53156579859493 1.46141848698451 2.1357439941001 0.936450324860778 5.9423979366368 SU55 GenGen 0 2.48965537963202 1 1.57786418288521 NA NA NA NA NA NA NA 100_100
57 home gvNormUnres1 9.75605430731063 1.40086948857944 1.96243532403283 0.89765163048856 6.08624608060554 SU55 GenGen 0 2.48571554726489 1 1.57661521851874 NA NA NA NA NA NA NA 100_100
58 home gvNormUnres1 9.99069571286122 1.40963342124334 1.9870663822862 0.903267398773453 6.23660001577919 SU55 GenGen 0 2.48007669066127 1 1.57482592392343 NA NA NA NA NA NA NA 100_100
59 home gvNormUnres1 10.244877212432 1.39914611471322 1.95760985031709 0.896547323932118 6.39947488698585 SU55 GenGen 0 2.4652738138084 1 1.57011904447032 NA NA NA NA NA NA NA 100_100
60 home gvNormUnres1 10.4631173133853 1.42480337225995 2.03006464960334 0.912988026837316 6.5393191651687 SU55 GenGen 0 2.4598221768135 1 1.56838202514996 NA NA NA NA NA NA NA 100_100
20 home gvNormUnres3 0.140884781352083 1.56606410781883 2.45255678979839 1 0 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
21 home gvNormUnres3 1.25337703426049 1.52195491655404 2.31634676802302 0.971834364222661 0.71037465666578 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
22 home gvNormUnres3 1.07812144994281 1.53824083901247 2.36618487880579 0.982233633561073 0.598466348798508 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
23 home gvNormUnres3 1.0884492528439 1.52366577430756 2.32155739179625 0.972926821258726 0.605061099836812 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
24 home gvNormUnres3 1.26382995593541 1.49831759112966 2.24495560388858 0.956740904570294 0.717049301479317 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
25 home gvNormUnres3 1.43639527427751 1.4994047526901 2.24821461238965 0.957435104478849 0.827239757591903 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
26 home gvNormUnres3 1.46550618216447 1.46609136990022 2.14942390489591 0.936163061640021 0.845828337549527 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
27 home gvNormUnres3 1.81853898850427 1.48693042617198 2.21096209227599 0.949469704814918 1.07125512855842 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
28 home gvNormUnres3 1.9098363981224 1.54635498239617 2.39121373158145 0.987414866783382 1.12955249273547 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
29 home gvNormUnres3 2.15513569741649 1.4847217460644 2.20439866323652 0.94805936656851 1.28618675698392 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
30 home gvNormUnres3 2.23317463230205 1.43623091795564 2.06275924969169 0.917095865223537 1.33601800878002 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
31 home gvNormUnres3 2.35763679280582 1.41773657144821 2.00997698602172 0.905286421143253 1.41549250786494 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
32 home gvNormUnres3 2.34695906915441 1.44935126075701 2.10061907705793 0.925473774362675 1.40867431721865 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
33 home gvNormUnres3 2.54370150554168 1.41005229957147 1.98824748752678 0.900379679561998 1.53430291403343 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
34 home gvNormUnres3 2.62570683372961 1.41324998718757 1.99727552628567 0.90242154208866 1.58666688034777 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
35 home gvNormUnres3 2.79082386684588 1.40529600117571 1.97485685092045 0.897342576309325 1.6921012826126 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
36 home gvNormUnres3 2.87287905772302 1.40854522873307 1.9839996613867 0.8994173493286 1.74449708842123 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
37 home gvNormUnres3 2.99749764895829 1.41749699374034 2.00929772726291 0.905133440363814 1.82407147532729 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
38 home gvNormUnres3 3.14433366779764 1.41268691384465 1.99568431654793 0.902061995285879 1.91783265541324 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
39 home gvNormUnres3 3.28876193557784 1.41377201752784 1.99875131754473 0.902754881150363 2.01005638179782 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
40 home gvNormUnres3 3.38285689607199 1.41304097255323 1.99668479011417 0.902288077160054 2.07014010380152 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
41 home gvNormUnres3 5.26744255950562 1.47565639622422 2.17756179971747 0.942270746680656 3.27352996123107 SU55 GenGen 0 2.58491368996074 3 1.60776667771189 NA NA NA NA NA NA NA 100_100
42 home gvNormUnres3 5.4578282945548 1.44532309275639 2.08895884245489 0.922901614014635 3.39509952795483 SU55 GenGen 0 2.58955551494962 3 1.60920959323191 NA NA NA NA NA NA NA 100_100
43 home gvNormUnres3 5.72904739439351 1.43186826216681 2.05024672020059 0.914310119884601 3.56828471142504 SU55 GenGen 0 2.58550335963651 3 1.60795004886237 NA NA NA NA NA NA NA 100_100
44 home gvNormUnres3 6.35463970580339 1.54288170470326 2.38048395470804 0.98519702801448 3.96775259290352 SU55 GenGen 0 2.58574524914293 3 1.60802526383852 NA NA NA NA NA NA NA 100_100
45 home gvNormUnres3 6.84053803592264 1.55351505715825 2.41340903281741 0.991986885723308 4.27801979569128 SU55 GenGen 0 2.58339627937287 3 1.60729470831359 NA NA NA NA NA NA NA 100_100
46 home gvNormUnres3 7.45919197497966 1.57205257715162 2.47134930532905 1.00382389795085 4.67305722485417 SU55 GenGen 0 2.58148547504429 3 1.60670018206394 NA NA NA NA NA NA NA 100_100
47 home gvNormUnres3 8.02539982290038 1.50538340425092 2.26617919379409 0.961252733355581 5.03460554531808 SU55 GenGen 0 2.56802267689888 3 1.60250512538927 NA NA NA NA NA NA NA 100_100
48 home gvNormUnres3 8.35114728703638 1.51323606564854 2.28988339037946 0.966266998964766 5.24260945940413 SU55 GenGen 0 2.56450363884616 3 1.60140676870249 NA NA NA NA NA NA NA 100_100
49 home gvNormUnres3 8.71098774747868 1.51412436727538 2.29257259957706 0.966834218162502 5.47238323344425 SU55 GenGen 0 2.55555341454575 3 1.59860983812366 NA NA NA NA NA NA NA 100_100
50 home gvNormUnres3 9.17871691909941 1.51597813058526 2.29818969241279 0.968017926607535 5.77104863882933 SU55 GenGen 0 2.55881091547845 3 1.59962836792752 NA NA NA NA NA NA NA 100_100
51 home gvNormUnres3 9.45378350210768 1.48191875316198 2.19608319097316 0.946269533771485 5.94669060752969 SU55 GenGen 0 2.55094224712156 3 1.59716694403608 NA NA NA NA NA NA NA 100_100
52 home gvNormUnres3 9.86366824530397 1.48258198621702 2.1980493458552 0.94669303690378 6.20841983122486 SU55 GenGen 0 2.54156963316417 3 1.5942301067174 NA NA NA NA NA NA NA 100_100
53 home gvNormUnres3 10.2406709854696 1.43126899710199 2.04853094206534 0.913927463094358 6.44915246680689 SU55 GenGen 0 2.53177392925243 3 1.59115490422914 NA NA NA NA NA NA NA 100_100
54 home gvNormUnres3 10.5568915378823 1.43170895603726 2.0497905347973 0.914208395996831 6.65107303368148 SU55 GenGen 0 2.52851920544825 3 1.59013182014833 NA NA NA NA NA NA NA 100_100
55 home gvNormUnres3 10.9598851053174 1.48157888549844 2.1950759939548 0.946052513496361 6.90840194213613 SU55 GenGen 0 2.50561627935091 3 1.5829138572111 NA NA NA NA NA NA NA 100_100
56 home gvNormUnres3 11.3727147872633 1.47535132910321 2.1766615442866 0.942075948064498 7.17201163722129 SU55 GenGen 0 2.49790659896972 3 1.58047669991358 NA NA NA NA NA NA NA 100_100
57 home gvNormUnres3 11.6954928336609 1.44185500519318 2.07894585600062 0.920687089369127 7.37811944901908 SU55 GenGen 0 2.49300367225307 3 1.57892484693005 NA NA NA NA NA NA NA 100_100
58 home gvNormUnres3 12.0621327931579 1.40994853207968 1.98795486311366 0.900313419508363 7.61223499873797 SU55 GenGen 0 2.48754093573924 3 1.57719400700714 NA NA NA NA NA NA NA 100_100
59 home gvNormUnres3 12.415204084055 1.36316419232089 1.85821661522586 0.870439585145379 7.83768636380939 SU55 GenGen 0 2.47272471418193 3 1.57248997268088 NA NA NA NA NA NA NA 100_100
60 home gvNormUnres3 12.790915535381 1.39194120417708 1.93750031588593 0.888814957974953 8.0775944553429 SU55 GenGen 0 2.4662881013769 3 1.57044200828203 NA NA NA NA NA NA NA 100_100
20 import gvNormUnres1 0.281686687886528 1.57352386343381 2.47597734879567 1 0 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
21 import gvNormUnres1 1.87256146026464 1.46263825341467 2.13931066035192 0.929530391882865 1.01102678475205 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
22 import gvNormUnres1 1.73143191153882 1.49176035438506 2.22534895491505 0.948037960561767 0.921336661834028 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
23 import gvNormUnres1 2.00754511535539 1.48013006834857 2.19078501922955 0.940646724682375 1.09681109233553 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
24 import gvNormUnres1 2.25729356183272 1.49580458040672 2.23743134276572 0.950608131955818 1.25553029086889 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
25 import gvNormUnres1 2.44378562353311 1.48176862550068 2.19563825951817 0.941688054394739 1.37404902835624 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
26 import gvNormUnres1 2.62495680870372 1.45287663947938 2.1108505295449 0.923326727507551 1.48918626229386 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
27 import gvNormUnres1 2.97661783335399 1.47098951154439 2.1638101430736 0.934837752211988 1.71267256130865 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
28 import gvNormUnres1 3.20191531101653 1.47718756291118 2.18208309601946 0.9387767146331 1.85585277159849 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
29 import gvNormUnres1 3.44513675243355 1.46657966230899 2.15085590589836 0.932035221320736 2.01042395228987 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
30 import gvNormUnres1 3.670058798137 1.44291430561136 2.08200169333793 0.916995502351375 2.15336556946535 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
31 import gvNormUnres1 3.8885175636315 1.44130835064394 2.07736976163595 0.915974891857472 2.29219966697804 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
32 import gvNormUnres1 4.0669167357429 1.42489385147159 2.03032248796153 0.905543210741094 2.40557524154485 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
33 import gvNormUnres1 4.21954220050525 1.44971055553067 2.10166069481705 0.92131462967905 2.50257120602249 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
34 import gvNormUnres1 4.48979596900948 1.43678187097298 2.06434214475662 0.913098240428063 2.67432187011122 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
35 import gvNormUnres1 4.76400935837502 1.44484424695761 2.08757489796651 0.918222011456891 2.84858893763897 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
36 import gvNormUnres1 4.98317577570385 1.4259686671411 2.03338663966816 0.906226273575088 2.98787275939847 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
37 import gvNormUnres1 5.19832393865584 1.43631379526141 2.06299731845823 0.912800770702658 3.12460291516648 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
38 import gvNormUnres1 5.47148497556671 1.41724548579017 2.00858476699261 0.900682549991579 3.29820119559851 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
39 import gvNormUnres1 5.63924870770528 1.43244086423169 2.05188682952084 0.910339460061165 3.40481777513513 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
40 import gvNormUnres1 5.8861642828563 1.43385740112663 2.05594704676562 0.911239692290148 3.56173663787941 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
41 import gvNormUnres1 5.92715214540679 1.46331220609238 2.14128261249896 0.929958699767718 3.5877850909744 SU55 GenGen 0 2.58342308175746 1 1.60730304602382 NA NA NA NA NA NA NA 100_100
42 import gvNormUnres1 6.06044838285725 1.46217489940061 2.13795543643717 0.929235922873 3.67249701721082 SU55 GenGen 0 2.58275242452693 1 1.60709440436053 NA NA NA NA NA NA NA 100_100
43 import gvNormUnres1 6.28523885389229 1.46417567882294 2.14381041845662 0.930507450727663 3.81535501654519 SU55 GenGen 0 2.57890262256702 1 1.60589620541523 NA NA NA NA NA NA NA 100_100
44 import gvNormUnres1 6.4970165024151 1.48151795304247 2.19489544518716 0.941528747971729 3.94994315559042 SU55 GenGen 0 2.57354001463836 1 1.604225674473 NA NA NA NA NA NA NA 100_100
45 import gvNormUnres1 6.71586123282948 1.47013492901546 2.1612967095113 0.934294651119731 4.08902254008529 SU55 GenGen 0 2.57045819981333 1 1.60326485641435 NA NA NA NA NA NA NA 100_100
