Generation N Sum home import Population Rep Import Scenario Cor
46 8640 9.54607360455744 0 9.54607360455744 import 0 100_100 ClassGen 0.9
47 8640 9.89301749173664 0 9.89301749173664 import 0 100_100 ClassGen 0.9
48 8640 10.1421115345345 0 10.1421115345345 import 0 100_100 ClassGen 0.9
49 8640 10.6042603161072 0 10.6042603161072 import 0 100_100 ClassGen 0.9
50 8640 10.9386720284232 0 10.9386720284232 import 0 100_100 ClassGen 0.9
20 8640 -0.0998744302648148 -0.0998744302648148 0 home 0 50_50 ClassGen 0.9
21 8640 1.04985600857639 1.04985600857639 0 home 0 50_50 ClassGen 0.9
22 8640 1.11506390020554 1.11506390020554 0 home 0 50_50 ClassGen 0.9
23 8640 1.19968497468926 1.19968497468926 0 home 0 50_50 ClassGen 0.9
24 8640 1.52569634115098 1.52569634115098 0 home 0 50_50 ClassGen 0.9
25 8640 1.69791179588292 1.69791179588292 0 home 0 50_50 ClassGen 0.9
26 8640 1.95169715182096 1.95169715182096 0 home 0 50_50 ClassGen 0.9
27 8640 2.2484371032285 2.2484371032285 0 home 0 50_50 ClassGen 0.9
28 8640 2.41507083634255 2.41507083634255 0 home 0 50_50 ClassGen 0.9
29 8640 2.56321814265735 2.56321814265735 0 home 0 50_50 ClassGen 0.9
30 8640 2.68257593317323 2.68257593317323 0 home 0 50_50 ClassGen 0.9
31 8640 3.22845774776624 1.94041344015573 1.28804430761051 home 0 50_50 ClassGen 0.9
32 8640 3.51806753460087 2.15474916351454 1.36331837108633 home 0 50_50 ClassGen 0.9
33 8640 3.67671304331942 2.19624712649865 1.48046591682077 home 0 50_50 ClassGen 0.9
34 8640 3.91604777588203 2.09801077066416 1.81803700521786 home 0 50_50 ClassGen 0.9
35 8640 4.21705389494778 2.11047989152968 2.1065740034181 home 0 50_50 ClassGen 0.9
36 8640 4.43644050847043 2.03350475910997 2.40293574936046 home 0 50_50 ClassGen 0.9
37 8640 4.63486528843876 2.02688527094611 2.60798001749265 home 0 50_50 ClassGen 0.9
38 8640 4.77897061969022 1.98002948150152 2.79894113818869 home 0 50_50 ClassGen 0.9
39 8640 4.99986738438698 1.89432834985127 3.10553903453571 home 0 50_50 ClassGen 0.9
40 8640 5.18439892842235 1.83832081035052 3.34607811807183 home 0 50_50 ClassGen 0.9
41 8640 5.85255507785769 1.54050896635151 4.31204611150618 home 0 50_50 ClassGen 0.9
42 8640 6.19648812749535 1.4157772144868 4.78071091300855 home 0 50_50 ClassGen 0.9
43 8640 6.57155707403107 1.31368452187113 5.25787255215993 home 0 50_50 ClassGen 0.9
44 8640 6.97918500162831 1.27252487112735 5.70666013050096 home 0 50_50 ClassGen 0.9
45 8640 7.33079005442211 1.14025882907944 6.19053122534267 home 0 50_50 ClassGen 0.9
46 8640 7.75197897582115 1.03616820392007 6.71581077190107 home 0 50_50 ClassGen 0.9
47 8640 8.15990213472928 0.976939887802796 7.18296224692649 home 0 50_50 ClassGen 0.9
48 8640 8.57105416121572 1.00472578753298 7.56632837368273 home 0 50_50 ClassGen 0.9
49 8640 8.90868194942208 0.884604902531201 8.02407704689088 home 0 50_50 ClassGen 0.9
50 8640 9.43497166702897 0.96372315986328 8.47124850716569 home 0 50_50 ClassGen 0.9
20 8640 -0.0313768641763079 0 -0.0313768641763079 import 0 50_50 ClassGen 0.9
21 8640 1.81165911067042 0 1.81165911067042 import 0 50_50 ClassGen 0.9
22 8640 1.6148233655991 0 1.6148233655991 import 0 50_50 ClassGen 0.9
23 8640 1.94796396084016 0 1.94796396084016 import 0 50_50 ClassGen 0.9
24 8640 2.38142531048378 0 2.38142531048378 import 0 50_50 ClassGen 0.9
25 8640 2.69606535576269 0 2.69606535576269 import 0 50_50 ClassGen 0.9
26 8640 2.94590628818745 0 2.94590628818745 import 0 50_50 ClassGen 0.9
27 8640 3.31173947383088 0 3.31173947383088 import 0 50_50 ClassGen 0.9
28 8640 3.6534087390901 0 3.6534087390901 import 0 50_50 ClassGen 0.9
29 8640 3.95853588285337 0 3.95853588285337 import 0 50_50 ClassGen 0.9
30 8640 4.23067412600863 0 4.23067412600863 import 0 50_50 ClassGen 0.9
31 8640 4.45854704868703 0 4.45854704868703 import 0 50_50 ClassGen 0.9
32 8640 4.63692356083426 0 4.63692356083426 import 0 50_50 ClassGen 0.9
