,Category,EBVGen,Cor,Group,Trait,Scenario,Rep,Generation,Strategy
2,Male candidates,EBV36,0.799285408530296,import,2,0_0,0,36,ClassGen
3,Mothers,EBV36,0.7133740658981377,import,2,0_0,0,36,ClassGen
0,Fathers,EBV37,0.8655249245047362,import,2,0_0,0,37,ClassGen
1,Female candidates,EBV37,0.48512523619218556,import,2,0_0,0,37,ClassGen
2,Male candidates,EBV37,0.8040674186380552,import,2,0_0,0,37,ClassGen
3,Mothers,EBV37,0.7212659857368513,import,2,0_0,0,37,ClassGen
0,Fathers,EBV38,0.87477366072557,import,2,0_0,0,38,ClassGen
1,Female candidates,EBV38,0.45005948730782447,import,2,0_0,0,38,ClassGen
2,Male candidates,EBV38,0.7860998179805884,import,2,0_0,0,38,ClassGen
3,Mothers,EBV38,0.7270986357668046,import,2,0_0,0,38,ClassGen
0,Fathers,EBV39,0.826494845057463,import,2,0_0,0,39,ClassGen
1,Female candidates,EBV39,0.48907478736064397,import,2,0_0,0,39,ClassGen
2,Male candidates,EBV39,0.796105489190112,import,2,0_0,0,39,ClassGen
3,Mothers,EBV39,0.7337454156163137,import,2,0_0,0,39,ClassGen
0,Fathers,EBV40,0.8345654553645755,import,2,0_0,0,40,ClassGen
1,Female candidates,EBV40,0.5005138119737756,import,2,0_0,0,40,ClassGen
2,Male candidates,EBV40,0.8044947380971882,import,2,0_0,0,40,ClassGen
3,Mothers,EBV40,0.7388033942553711,import,2,0_0,0,40,ClassGen
0,Fathers,EBV41,0.7933038313189744,import,2,0_0,0,41,ClassGen
1,Female candidates,EBV41,0.4677082918987944,import,2,0_0,0,41,ClassGen
2,Male candidates,EBV41,0.7937112060218384,import,2,0_0,0,41,ClassGen
3,Mothers,EBV41,0.7399788491803639,import,2,0_0,0,41,ClassGen
0,Fathers,EBV42,0.775236034591438,import,2,0_0,0,42,ClassGen
1,Female candidates,EBV42,0.4563551510020762,import,2,0_0,0,42,ClassGen
2,Male candidates,EBV42,0.7946784388748781,import,2,0_0,0,42,ClassGen
3,Mothers,EBV42,0.7422423556184172,import,2,0_0,0,42,ClassGen
0,Fathers,EBV43,0.7591352362527024,import,2,0_0,0,43,ClassGen
1,Female candidates,EBV43,0.45952219006131895,import,2,0_0,0,43,ClassGen
2,Male candidates,EBV43,0.8024815164457114,import,2,0_0,0,43,ClassGen
3,Mothers,EBV43,0.7414731923454129,import,2,0_0,0,43,ClassGen
0,Fathers,EBV44,0.8418748729629071,import,2,0_0,0,44,ClassGen
