strategy,scenario,Group,Generation,cat,trait,gvNormUnres1,gvNormUnres2
ClassGen,100_100,home,33,pb,2,7.352426769925,6.894082549341667
ClassGen,100_100,home,34,pb,2,6.579548275791666,6.096654836208334
ClassGen,100_100,home,35,gpb,2,7.5390096685111105,7.243130169694445
ClassGen,100_100,home,36,gpb,2,6.801518953409524,6.787088253567261
ClassGen,100_100,home,37,gpb,2,7.5391144577916664,7.403034382762499
ClassGen,100_100,home,38,gpb,2,7.191905109261111,7.169706373294445
ClassGen,100_100,home,39,gpb,2,8.147288989022224,8.43279906485
ClassGen,100_100,home,40,gpb,2,8.81602640306111,9.199737893083336
ClassGen,100_100,home,41,gpb,2,10.386035165194444,10.483967432511113
ClassGen,100_100,home,42,gpb,2,10.443216796638888,10.316283260399999
ClassGen,100_100,home,43,gpb,2,11.191418616566665,11.394107967394445
ClassGen,100_100,home,44,gpb,2,11.833547939477777,11.824776169611113
ClassGen,100_100,home,45,gpb,2,11.69786576681111,12.094542187222224
ClassGen,100_100,home,46,gpb,2,12.272003906833334,12.36873357153889
ClassGen,100_100,home,47,gpb,2,12.655920639,12.964417671083332
ClassGen,100_100,home,48,gpb,2,13.0423334456,13.378647203577778
ClassGen,100_100,import,11,pb,2,4.512694813953334,4.75634084435
ClassGen,100_100,import,12,pb,2,4.0135223666833335,4.40734353582
ClassGen,100_100,import,13,pb,2,4.210783081280001,4.540544556663334
ClassGen,100_100,import,14,pb,2,3.8139382144666665,4.379275355063334
ClassGen,100_100,import,15,pb,2,4.173130848226666,4.217263037416667
ClassGen,100_100,import,16,pb,2,4.244887561333333,4.47474430416
ClassGen,100_100,import,17,pb,2,3.9942120934433336,4.293036318096667
ClassGen,100_100,import,18,pb,2,4.192827396559999,4.523554458566667
ClassGen,100_100,import,19,pb,2,3.855598786986667,4.246452784943334
ClassGen,100_100,import,20,pb,2,3.7834315153733336,3.911356118303333
ClassGen,100_100,import,21,pb,2,5.7749236638033326,6.046424232503333
ClassGen,100_100,import,22,pb,2,5.57203054602,6.123143259
ClassGen,100_100,import,23,pb,2,5.3397202480566675,5.987903492116668
ClassGen,100_100,import,24,pb,2,5.66581651036,6.00514248211
ClassGen,100_100,import,25,gpb,2,5.08156098832598,5.64316725261089
ClassGen,100_100,import,26,gpb,2,5.051234604154978,5.218389604421286
ClassGen,100_100,import,27,gpb,2,5.367035567447402,5.800988440990401
ClassGen,100_100,import,28,gpb,2,5.7807355454266665,6.094608725817778
ClassGen,100_100,import,29,gpb,2,5.826280737824445,6.187235047964445
ClassGen,100_100,import,30,gpb,2,5.3733107899866654,5.7935048841755545
ClassGen,100_100,import,31,gpb,2,7.281381042226667,7.875313883271112
ClassGen,100_100,import,32,gpb,2,7.458545554908889,8.230031939873333
ClassGen,100_100,import,33,gpb,2,7.809953871753333,8.392422012344445
ClassGen,100_100,import,34,gpb,2,7.965354863948889,8.627119275268889
ClassGen,100_100,import,35,gpb,2,8.359777605128889,9.234102453786667
ClassGen,100_100,import,36,gpb,2,8.79276781808222,9.46045964444
ClassGen,100_100,import,37,gpb,2,8.92702834962889,9.782733843837777
ClassGen,100_100,import,38,gpb,2,9.497568155560002,10.12305001967111
ClassGen,100_100,import,39,gpb,2,9.683479254275555,10.586528936533334
ClassGen,100_100,import,40,gpb,2,10.332740804968887,11.085366452695554
ClassGen,100_100,import,41,gpb,2,10.808167519873335,11.51957088297778
ClassGen,100_100,import,42,gpb,2,10.600008521793333,11.483090967037777
ClassGen,100_100,import,43,gpb,2,11.03955092842889,11.911228315706666
ClassGen,100_100,import,44,gpb,2,11.894142238333336,12.69388902294
ClassGen,100_100,import,45,gpb,2,11.721274337484445,12.925120503993334
ClassGen,100_100,import,46,gpb,2,12.14123999945111,12.985848279508891
ClassGen,100_100,import,47,gpb,2,12.414470468713333,13.515926009108886
ClassGen,100_100,import,48,gpb,2,12.63456348187111,13.758897320006666
ClassGen,10_10,home,11,pb,2,2.6127730395916666,2.5022925463416668
ClassGen,10_10,home,12,pb,2,2.7593381450499996,2.0628640355416663
ClassGen,10_10,home,13,pb,2,2.7957541063249995,2.3953410577083334
ClassGen,10_10,home,14,pb,2,2.6500072648499997,1.8790418169083332
ClassGen,10_10,home,15,pb,2,2.8344316436250003,2.3156505986500004
ClassGen,10_10,home,16,pb,2,2.725860871583334,2.1060620504166665
ClassGen,10_10,home,17,pb,2,2.999604549008333,2.0921660040583334
ClassGen,10_10,home,18,pb,2,3.0094254623833336,2.7843218711916666
ClassGen,10_10,home,19,pb,2,2.7464645786333333,1.5709324018500002
ClassGen,10_10,home,20,pb,2,2.619504440275,2.271074807858333
ClassGen,10_10,home,21,pb,2,3.6536070811666668,3.0268649290500007
ClassGen,10_10,home,22,pb,2,3.790299419991667,2.7971259030750004
ClassGen,10_10,home,23,pb,2,3.5935804268166667,2.6752254877499997
ClassGen,10_10,home,24,pb,2,3.785980519858333,3.105850427875
ClassGen,10_10,home,25,pb,2,4.565107288699999,3.39321148935
ClassGen,10_10,home,26,pb,2,4.522926384266667,4.333302535516666
ClassGen,10_10,home,27,pb,2,5.15309270175,3.757701014275
ClassGen,10_10,home,28,pb,2,4.220976204725,3.5012946594916676
ClassGen,10_10,home,29,pb,2,4.685340192875,3.807371692666667
ClassGen,10_10,home,30,pb,2,4.291372341775,3.420346047983333
ClassGen,10_10,home,31,pb,2,4.890519725858334,3.6949705115666664
ClassGen,10_10,home,32,pb,2,4.633825337608333,3.6645260559416664
ClassGen,10_10,home,33,pb,2,5.206135049483333,3.8864115890583335
ClassGen,10_10,home,34,pb,2,4.8022756381416665,3.5647608809999993
ClassGen,10_10,home,35,gpb,2,5.986521559628571,4.962000044070476
ClassGen,10_10,home,36,gpb,2,5.546475667322222,4.9855015438066665
ClassGen,10_10,home,37,gpb,2,5.642086478606111,4.6072171950186105
ClassGen,10_10,home,38,gpb,2,5.488601723094444,4.697103082422223
ClassGen,10_10,home,39,gpb,2,6.097957572655556,5.046380561822222
ClassGen,10_10,home,40,gpb,2,6.465012925083333,5.463343181916667
ClassGen,10_10,home,41,gpb,2,8.108862725911111,7.198176270111111
ClassGen,10_10,home,42,gpb,2,8.675893222355556,8.030233872750001
ClassGen,10_10,home,43,gpb,2,9.10313752325,8.451581727722221
ClassGen,10_10,home,44,gpb,2,9.20516388235,8.775119329344443
ClassGen,10_10,home,45,gpb,2,9.878427087877778,9.473768997016668
ClassGen,10_10,home,46,gpb,2,10.600057665655557,9.727367690694443
ClassGen,10_10,home,47,gpb,2,10.587988439600002,10.031140386494444
ClassGen,10_10,home,48,gpb,2,10.866775049250002,10.011224163966666
ClassGen,10_10,import,11,pb,2,4.512694813953334,4.75634084435
ClassGen,10_10,import,12,pb,2,4.0135223666833335,4.40734353582
ClassGen,10_10,import,13,pb,2,4.210783081280001,4.540544556663334
ClassGen,10_10,import,14,pb,2,3.8139382144666665,4.379275355063334
ClassGen,10_10,import,15,pb,2,4.173130848226666,4.217263037416667
ClassGen,10_10,import,16,pb,2,4.244887561333333,4.47474430416
ClassGen,10_10,import,17,pb,2,3.9942120934433336,4.293036318096667
ClassGen,10_10,import,18,pb,2,4.192827396559999,4.523554458566667
ClassGen,10_10,import,19,pb,2,3.855598786986667,4.246452784943334
ClassGen,10_10,import,20,pb,2,3.7834315153733336,3.911356118303333
ClassGen,10_10,import,21,pb,2,5.7749236638033326,6.046424232503333
ClassGen,10_10,import,22,pb,2,5.57203054602,6.123143259
ClassGen,10_10,import,23,pb,2,5.3397202480566675,5.987903492116668
ClassGen,10_10,import,24,pb,2,5.66581651036,6.00514248211
ClassGen,10_10,import,25,gpb,2,5.08156098832598,5.64316725261089
ClassGen,10_10,import,26,gpb,2,5.051234604154978,5.218389604421286
ClassGen,10_10,import,27,gpb,2,5.367035567447402,5.800988440990401
ClassGen,10_10,import,28,gpb,2,5.7807355454266665,6.094608725817778
ClassGen,10_10,import,29,gpb,2,5.826280737824445,6.187235047964445
ClassGen,10_10,import,30,gpb,2,5.406984462922222,5.796546450277778
ClassGen,10_10,import,31,gpb,2,7.30150324032,7.799597679597778
ClassGen,10_10,import,32,gpb,2,7.341026818386666,7.8084998689311105
ClassGen,10_10,import,33,gpb,2,7.486624314048889,8.236678600717779
ClassGen,10_10,import,34,gpb,2,8.339475730288889,9.130749699502223
ClassGen,10_10,import,35,gpb,2,8.134051484759999,9.01153524714
ClassGen,10_10,import,36,gpb,2,8.72978213796,9.507650276413333
ClassGen,10_10,import,37,gpb,2,9.409935107795555,10.042785546535555
ClassGen,10_10,import,38,gpb,2,9.50924954113111,10.268437789068889
