Group,Strategy,Scenario,Generation,Category,Cor
home,ClassGen,0_100,31,Male candidates1,0.29011868095257715
home,ClassGen,0_100,31,Mothers,0.5360958672343231
home,ClassGen,0_100,32,Fathers,0.8988554418457938
home,ClassGen,0_100,32,Female candidates,0.31998577686361773
home,ClassGen,0_100,32,Male candidates,0.976745025529171
home,ClassGen,0_100,32,Male candidates1,-0.12312055192771505
home,ClassGen,0_100,32,Mothers,0.5166345180413847
home,ClassGen,0_100,33,Fathers,0.8830038209902221
home,ClassGen,0_100,33,Female candidates,0.3345072438490042
home,ClassGen,0_100,33,Male candidates,0.94682458631581
home,ClassGen,0_100,33,Male candidates1,-0.00706502442232553
home,ClassGen,0_100,33,Mothers,0.5185813593075526
home,ClassGen,0_100,34,Fathers,0.8857007075406016
home,ClassGen,0_100,34,Female candidates,0.374607089089806
home,ClassGen,0_100,34,Male candidates,0.9388728293161307
home,ClassGen,0_100,34,Male candidates1,0.23496934526407737
home,ClassGen,0_100,34,Mothers,0.5229296789427579
home,ClassGen,0_100,35,Fathers,0.7894136169616852
home,ClassGen,0_100,35,Female candidates,0.3139009690719432
home,ClassGen,0_100,35,Male candidates,0.891257874321004
home,ClassGen,0_100,35,Male candidates1,-0.42571927463767784
home,ClassGen,0_100,35,Mothers,0.530542663591169
home,ClassGen,0_100,36,Fathers,0.815399138326814
home,ClassGen,0_100,36,Female candidates,0.364444216419776
home,ClassGen,0_100,36,Male candidates,0.9730075998239256
home,ClassGen,0_100,36,Male candidates1,0.1122413261968007
home,ClassGen,0_100,36,Mothers,0.5344685322280053
home,ClassGen,0_100,37,Fathers,0.7122817369664868
home,ClassGen,0_100,37,Female candidates,0.3290228250526287
home,ClassGen,0_100,37,Male candidates,0.9819188429840567
home,ClassGen,0_100,37,Male candidates1,0.42999913081481006
home,ClassGen,0_100,37,Mothers,0.5329585551691712
home,ClassGen,0_100,38,Fathers,0.8795144964828929
home,ClassGen,0_100,38,Female candidates,0.3448146456961766
home,ClassGen,0_100,38,Male candidates,0.9495876353094447
home,ClassGen,0_100,38,Male candidates1,-0.22483984122019346
home,ClassGen,0_100,38,Mothers,0.5333863691921592
home,ClassGen,0_100,39,Fathers,0.9011556667823153
home,ClassGen,0_100,39,Female candidates,0.3766948949093438
home,ClassGen,0_100,39,Male candidates,0.7934107710630849
