Group,Generation,cat,gvNormUnres1,gvNormUnres3,scenario,rep,trait,strategy
import,43,gpb,8.93466363285,11.596144281866666,100_100,0,3,ClassGen
import,44,gpb,9.246125808516666,12.582294181216666,100_100,0,3,ClassGen
import,45,gpb,9.58108557435,13.236666289950001,100_100,0,3,ClassGen
import,46,gpb,9.575297623016667,13.255134106033333,100_100,0,3,ClassGen
import,47,gpb,10.539397523116667,13.480291123116666,100_100,0,3,ClassGen
import,48,gpb,9.069622569649999,13.351979032066666,100_100,0,3,ClassGen
home,35,gpb,5.22038875296,4.711110007379999,0_100,0,3,ClassGen
home,36,gpb,6.126382101119999,5.29692396212,0_100,0,3,ClassGen
home,37,gpb,5.25891497985,5.902549637575,0_100,0,3,ClassGen
home,38,gpb,5.63478089445,6.1286912927,0_100,0,3,ClassGen
home,39,gpb,6.798206012166666,7.3332818911999995,0_100,0,3,ClassGen
home,40,gpb,6.772764953833334,7.0053074699,0_100,0,3,ClassGen
home,41,gpb,7.965306706033334,7.601954571266666,0_100,0,3,ClassGen
home,42,gpb,9.082477248183332,8.896193832183332,0_100,0,3,ClassGen
home,43,gpb,8.977821937733333,9.893487517566665,0_100,0,3,ClassGen
home,44,gpb,7.82055859765,8.188138944816666,0_100,0,3,ClassGen
home,45,gpb,8.7523431339,9.4846567362,0_100,0,3,ClassGen
home,46,gpb,9.78004737155,10.09483774935,0_100,0,3,ClassGen
home,47,gpb,9.772316994533332,9.922243066583334,0_100,0,3,ClassGen
home,48,gpb,10.2185697537,10.740773599983333,0_100,0,3,ClassGen
import,25,gpb,4.37577015808,6.1714633543,0_100,0,3,ClassGen
import,26,gpb,4.31534528154,5.63770852656,0_100,0,3,ClassGen
import,27,gpb,4.28391326404,5.5657097252,0_100,0,3,ClassGen
import,28,gpb,4.30588798064,5.6821521495,0_100,0,3,ClassGen
import,29,gpb,4.23579291972,5.02737642436,0_100,0,3,ClassGen
import,30,gpb,4.394627258839999,5.18793004594,0_100,0,3,ClassGen
import,31,gpb,5.728046192120001,7.375827999499999,0_100,0,3,ClassGen
import,32,gpb,5.44601401066,7.943660157319999,0_100,0,3,ClassGen
import,33,gpb,5.8300168039799996,8.30963262406,0_100,0,3,ClassGen
import,34,gpb,6.654215841599999,9.07409621632,0_100,0,3,ClassGen
import,35,gpb,6.77144428485,8.9798263622,0_100,0,3,ClassGen
import,36,gpb,7.467883002766667,9.451030736966667,0_100,0,3,ClassGen
import,37,gpb,7.094932293477778,9.300709682122223,0_100,0,3,ClassGen
import,38,gpb,6.717437448229999,9.38487418918,0_100,0,3,ClassGen
import,39,gpb,8.055960793216668,10.401950998466667,0_100,0,3,ClassGen
import,40,gpb,8.154300033316666,10.404542346083332,0_100,0,3,ClassGen
import,41,gpb,7.582187032166668,10.284268338733334,0_100,0,3,ClassGen
import,42,gpb,7.867293550483335,10.706116507399999,0_100,0,3,ClassGen
import,43,gpb,8.979717303216667,11.945685384616667,0_100,0,3,ClassGen
import,44,gpb,8.357672788766667,11.580225421283332,0_100,0,3,ClassGen
import,45,gpb,10.389842501316666,12.673852459966668,0_100,0,3,ClassGen
import,46,gpb,9.38117667915,12.985014227983333,0_100,0,3,ClassGen
import,47,gpb,9.67524515485,13.252143652883333,0_100,0,3,ClassGen
import,48,gpb,9.926883138166666,13.633593357399997,0_100,0,3,ClassGen
home,25,gpb,3.77445492735,2.8280457870499998,10_10,0,3,GenGen
home,26,gpb,3.816105727325,3.26789311575,10_10,0,3,GenGen
home,27,gpb,2.9612311284875004,1.523890895,10_10,0,3,GenGen
home,28,gpb,3.170532657066666,2.2967547457666666,10_10,0,3,GenGen
home,29,gpb,2.928227316433333,2.4677528430833333,10_10,0,3,GenGen
home,30,gpb,3.438308426766667,2.081147328383333,10_10,0,3,GenGen
home,31,gpb,5.063293129900001,3.927225226466667,10_10,0,3,GenGen
home,32,gpb,5.196523259299999,3.8258936741666667,10_10,0,3,GenGen
home,33,gpb,5.338654950666666,4.227180813433333,10_10,0,3,GenGen
home,34,gpb,5.822807815783334,4.0733430795166665,10_10,0,3,GenGen
home,35,gpb,5.5694898844833345,4.03123283285,10_10,0,3,GenGen
home,36,gpb,7.212581977616668,5.2195538869666676,10_10,0,3,GenGen
home,37,gpb,7.896944843816667,5.7714713746,10_10,0,3,GenGen
home,38,gpb,6.9560006601166675,5.928268184833333,10_10,0,3,GenGen
home,39,gpb,7.9464657666999985,6.353108339866665,10_10,0,3,GenGen
home,40,gpb,7.94422576205,7.114302404966666,10_10,0,3,GenGen
home,41,gpb,8.469663954233335,6.6816216609333345,10_10,0,3,GenGen
home,42,gpb,8.608427929883334,6.67446841885,10_10,0,3,GenGen
home,43,gpb,8.466257593283332,5.846556358416667,10_10,0,3,GenGen
