Generation Group variable value sd var SDSt zMean zMean_noC zMean30 Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
26 import gvNormUnres1 2.57887860059389 1.39399033332085 1.94320904939196 0.929967028170983 1.80174157887537 1.72043665646858 1.91627443499231 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
27 import gvNormUnres1 2.90043350047307 1.34196767850302 1.80087725014677 0.895261368782908 2.01625917450466 1.93495425209787 2.1552106276239 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
28 import gvNormUnres1 3.18807079179397 1.37549137492439 1.89197652249139 0.917625894267113 2.20814945566867 2.12684453326188 2.36894383235163 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
29 import gvNormUnres1 3.46764036935769 1.36571406057159 1.86517489524295 0.911103194823064 2.39465755619084 2.31335263378406 2.57668220133246 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
30 import gvNormUnres1 3.72363557478431 1.34577728194982 1.81111649261226 0.897802853835748 2.56543858294981 2.48413366054303 2.76690327941138 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
31 import gvNormUnres1 3.91217206761251 1.37223186811472 1.88302029986962 0.915451392917546 2.69121615668631 2.60991123427953 2.90699814901347 SU55 ClassGen 0 2.60634405954904 2 1.61441756046849 NA NA NA NA NA NA NA 100_100
32 import gvNormUnres1 4.07159185293672 1.37094703753403 1.87949577972333 0.914594249185434 2.79756922129934 2.71626429889256 3.02545741226781 SU55 ClassGen 0 2.60499553924948 2 1.61399985726439 NA NA NA NA NA NA NA 100_100
33 import gvNormUnres1 4.3430359505142 1.41568170178621 2.00415468077229 0.944437901452175 2.97865660383328 2.89735168142649 3.22715802143859 SU55 ClassGen 0 2.60588341905843 2 1.61427488955829 NA NA NA NA NA NA NA 100_100
34 import gvNormUnres1 4.63515506642546 1.44480291738902 2.08745547009583 0.963865418045035 3.17353682617224 3.09223190376546 3.44422151316883 SU55 ClassGen 0 2.598420041687 2 1.61196155093321 NA NA NA NA NA NA NA 100_100
35 import gvNormUnres1 4.91597211540926 1.4887898244936 2.2164951415157 0.993210222166475 3.36087714716362 3.27957222475683 3.65288683450413 SU55 ClassGen 0 2.59068585545427 2 1.60956076475984 NA NA NA NA NA NA NA 100_100
36 import gvNormUnres1 5.24665245252471 1.48196072453855 2.19620758907482 0.988654352847671 3.58148255814179 3.500177635735 3.89860382018273 SU55 ClassGen 0 2.58794343125608 2 1.60870862223589 NA NA NA NA NA NA NA 100_100
37 import gvNormUnres1 5.61459562662058 1.4042832015124 1.9720113100499 0.936833666923526 3.82694697204097 3.74564204963419 4.1720095159326 SU55 ClassGen 0 2.57804280988979 2 1.60562847816355 NA NA NA NA NA NA NA 100_100
38 import gvNormUnres1 5.88440766478411 1.41694051337882 2.00772041845424 0.945277687243962 4.00694556550177 3.92564064309498 4.37249739887012 SU55 ClassGen 0 2.57509919686207 2 1.60471156188957 NA NA NA NA NA NA NA 100_100
39 import gvNormUnres1 6.25405040731911 1.37633287356193 1.89429217884723 0.918187279786406 4.25354380549195 4.17223888308516 4.64716598444726 SU55 ClassGen 0 2.57095490903224 2 1.60341975447237 NA NA NA NA NA NA NA 100_100
40 import gvNormUnres1 6.50212825626551 1.4142825848868 2.00019522991409 0.943504514359092 4.41904295883983 4.33773803643304 4.83150395200975 SU55 ClassGen 0 2.56285602026939 2 1.60089225754558 NA NA NA NA NA NA NA 100_100
41 import gvNormUnres1 6.77195836280789 1.42281046580851 2.02438962161422 0.949193684425618 4.59905360618377 4.51774868377698 5.03200526092725 SU55 ClassGen 0 2.55900771286142 2 1.59968988021473 NA NA NA NA NA NA NA 100_100
42 import gvNormUnres1 7.09862046848229 1.41324772007891 1.99726911830824 0.942814129263194 4.81697835097479 4.735673428568 5.2747364394482 SU55 ClassGen 0 2.55433340878288 2 1.59822820923136 NA NA NA NA NA NA NA 100_100
43 import gvNormUnres1 7.42107826631941 1.44213392271486 2.07975025104494 0.962084862623661 5.03209829319904 4.95079337079226 5.51434354395358 SU55 ClassGen 0 2.54563887712614 2 1.59550583738391 NA NA NA NA NA NA NA 100_100
44 import gvNormUnres1 7.77266721278823 1.41679374567384 2.00730451778052 0.945179774709586 5.26665237859679 5.18534745619001 5.7755969855033 SU55 ClassGen 0 2.54109694130238 2 1.59408184899722 NA NA NA NA NA NA NA 100_100
45 import gvNormUnres1 8.12342142784697 1.4232385214549 2.02560788895312 0.949479251425509 5.50064959306782 5.41934467066103 6.03623016735532 SU55 ClassGen 0 2.53437491658836 2 1.59197202129571 NA NA NA NA NA NA NA 100_100
46 import gvNormUnres1 8.50558133818661 1.44982157500476 2.10198259934927 0.967213494424584 5.75559835964786 5.67429343724107 6.3201998222643 SU55 ClassGen 0 2.52392808848844 2 1.58868753645531 NA NA NA NA NA NA NA 100_100
47 import gvNormUnres1 8.79288557341725 1.42549373995322 2.03203240264582 0.950983766051351 5.94726645047448 5.86596152806769 6.53368554466732 SU55 ClassGen 0 2.51587598324263 2 1.58615131158494 NA NA NA NA NA NA NA 100_100
48 import gvNormUnres1 9.07378223691117 1.39403787074594 1.94334158507387 0.929998741617541 6.13465988436601 6.05335496195922 6.74241002475882 SU55 ClassGen 0 2.51042674633865 2 1.5844326260017 NA NA NA NA NA NA NA 100_100
49 import gvNormUnres1 9.48768087182965 1.42494644576738 2.03047237330508 0.950618651935867 6.41078237551859 6.3294774531118 7.04996361514103 SU55 ClassGen 0 2.49531066446572 2 1.57965523595047 NA NA NA NA NA NA NA 100_100
50 import gvNormUnres1 9.7683387629572 1.43762540298299 2.06676679930201 0.959077112428934 6.59801651818502 6.51671159577823 7.2585106718434 SU55 ClassGen 0 2.48396489401643 2 1.57605992716534 NA NA NA NA NA NA NA 100_100
20 import gvNormUnres2 -0.0313768641763079 1.46217224805517 2.13794768298271 1 0 -0.0214590751657625 -0.0246009630916252 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
21 import gvNormUnres2 1.81165911067042 1.23952085926567 1.53641196055472 0.847725608877036 1.26047801638838 1.23901894122262 1.42042744188129 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
22 import gvNormUnres2 1.6148233655991 1.3444118158714 1.80744313065465 0.919461997490104 1.12585930417227 1.10440022900651 1.26609879793514 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
23 import gvNormUnres2 1.94796396084016 1.31920915452229 1.74031279337541 0.902225545777499 1.35369880508208 1.33223972991632 1.52729696744616 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
24 import gvNormUnres2 2.38142531048378 1.33624851302351 1.78556008855754 0.91387900078178 1.65014906955685 1.62868999439109 1.86715140937859 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
25 import gvNormUnres2 2.69606535576269 1.33799043721497 1.7902184100787 0.915070327038844 1.86533578623637 1.84387671107061 2.1138442623533 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
26 import gvNormUnres2 2.94590628818745 1.31219600162631 1.72185834668409 0.897429152667657 2.03620548558751 2.01474641042175 2.30973150981125 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
27 import gvNormUnres2 3.31173947383088 1.27264496766165 1.61962521371453 0.870379648741379 2.28640390518549 2.26494483001973 2.59656223474078 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
28 import gvNormUnres2 3.6534087390901 1.30347991103345 1.69905987846776 0.891468096708304 2.5200762825088 2.49861720734304 2.86444728969575 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
29 import gvNormUnres2 3.95853588285337 1.29420107908242 1.6749564330981 0.885122174083 2.72875699312215 2.70729791795638 3.10368157263092 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
30 import gvNormUnres2 4.23067412600863 1.27543235032897 1.62672768026569 0.872285978635841 2.9148761343637 2.89341705919794 3.31705097876608 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
31 import gvNormUnres2 4.45664111156885 1.29632930603163 1.68046966967645 0.88657769818561 3.06941810837585 3.04795903321008 3.49421990936591 SU55 ClassGen 0 2.65530345791199 2 1.62951018956986 NA NA NA NA NA NA NA 100_100
32 import gvNormUnres2 4.66255257163821 1.31127439391542 1.71944053613825 0.896798852296328 3.21024382869931 3.18878475353355 3.65566434819973 SU55 ClassGen 0 2.65499082147075 2 1.62941425717058 NA NA NA NA NA NA NA 100_100
33 import gvNormUnres2 4.99145945025645 1.37109860457609 1.8799113834705 0.937713464607048 3.43518783174391 3.41372875657814 3.91354308126887 SU55 ClassGen 0 2.65488918425505 2 1.62938306860451 NA NA NA NA NA NA NA 100_100
34 import gvNormUnres2 5.31921437222999 1.41000445547638 1.98811256446324 0.964321718834303 3.65934399556762 3.63788492040186 4.17051862520031 SU55 ClassGen 0 2.6473029075875 2 1.62705344337164 NA NA NA NA NA NA NA 100_100
35 import gvNormUnres2 5.64092673895197 1.43623234081793 2.06276333681135 0.98225933553879 3.87936757155184 3.85790849638607 4.42275651664081 SU55 ClassGen 0 2.63883816886366 2 1.62445011276544 NA NA NA NA NA NA NA 100_100
36 import gvNormUnres2 5.997835789776 1.41689676183146 2.00759643368848 0.969035463308834 4.1234626508414 4.10200357567564 4.70259029279677 SU55 ClassGen 0 2.6360882064178 2 1.62360346341642 NA NA NA NA NA NA NA 100_100
37 import gvNormUnres2 6.40829748172961 1.33835175017377 1.79118540719319 0.915317434012242 4.40418312854132 4.38272405337556 5.02441190242408 SU55 ClassGen 0 2.62560460414 2 1.6203717487478 NA NA NA NA NA NA NA 100_100
38 import gvNormUnres2 6.70365417240946 1.35741914752369 1.84258674206395 0.928357893079417 4.60618168997805 4.58472261481228 5.25598568256512 SU55 ClassGen 0 2.62278797122697 2 1.61950238382874 NA NA NA NA NA NA NA 100_100
39 import gvNormUnres2 7.07510885043669 1.32158691291022 1.74659196837557 0.903851727912399 4.86022472664579 4.83876565148003 5.5472239265468 SU55 ClassGen 0 2.61757982375972 2 1.61789363796256 NA NA NA NA NA NA NA 100_100
