strategy,scenario,Group,Generation,cat,trait,gvNormUnres1,gvNormUnres3
ClassGen,25_25,import,29,gpb,2,5.990907130273334,4.458879462433333
ClassGen,25_25,import,29,gpb,3,5.012119638286667,5.5881719086
ClassGen,25_25,import,30,gpb,2,5.463870999926667,4.55701411374
ClassGen,25_25,import,30,gpb,3,4.746766057833334,6.121104369286666
ClassGen,25_25,import,31,gpb,2,6.9613958764,5.71288084968
ClassGen,25_25,import,31,gpb,3,6.32789423758,7.794520233060001
ClassGen,25_25,import,32,gpb,2,7.226363502606667,5.524379382066667
ClassGen,25_25,import,32,gpb,3,6.713433666513333,7.807719902406667
ClassGen,25_25,import,33,gpb,2,7.832295984479999,6.078398945826667
ClassGen,25_25,import,33,gpb,3,6.80474470026,8.142941909466668
ClassGen,25_25,import,34,gpb,2,8.176801747699999,6.71319459738
ClassGen,25_25,import,34,gpb,3,7.209421113053334,9.08649913318
ClassGen,25_25,import,35,gpb,2,8.5307254278,6.93944015549
ClassGen,25_25,import,35,gpb,3,7.718740843920741,9.348714005947407
ClassGen,25_25,import,36,gpb,2,8.509535862540742,7.030174310937038
ClassGen,25_25,import,36,gpb,3,7.522086933239166,9.263923116618333
ClassGen,25_25,import,37,gpb,2,9.39840121303037,7.759904994544445
ClassGen,25_25,import,37,gpb,3,7.6721688130875,9.6677414753575
ClassGen,25_25,import,38,gpb,2,9.615566290334074,7.835806189777038
ClassGen,25_25,import,38,gpb,3,7.960893500862962,9.585854416203704
ClassGen,25_25,import,39,gpb,2,9.5798545934,7.545391108616667
ClassGen,25_25,import,39,gpb,3,9.056891511733333,10.963839939283332
ClassGen,25_25,import,40,gpb,2,11.39777455435,9.24446816885
ClassGen,25_25,import,40,gpb,3,8.652700834700001,10.726088458933333
ClassGen,25_25,import,41,gpb,2,10.871976489,8.665038598
ClassGen,25_25,import,41,gpb,3,7.82343771195,10.977476416216668
ClassGen,25_25,import,42,gpb,2,10.636068129716667,8.807140828933333
ClassGen,25_25,import,42,gpb,3,9.394031640383334,11.866793755433333
ClassGen,25_25,import,43,gpb,2,11.867279201366665,9.09121091035
ClassGen,25_25,import,43,gpb,3,9.093935050616667,11.730839938066667
ClassGen,25_25,import,44,gpb,2,11.542071146783334,9.378758206383333
ClassGen,25_25,import,44,gpb,3,9.668355343266665,12.644578522733333
