Generation N Sum home import Population Rep Import Scenario Cor
33 8640 1 0 1 import 0 100_100 GenGen 0.9
34 8640 1 0 1 import 0 100_100 GenGen 0.9
35 8640 1 0 1 import 0 100_100 GenGen 0.9
36 8640 1 0 1 import 0 100_100 GenGen 0.9
37 8640 1 0 1 import 0 100_100 GenGen 0.9
38 8640 1 0 1 import 0 100_100 GenGen 0.9
39 8640 1 0 1 import 0 100_100 GenGen 0.9
40 8640 1 0 1 import 0 100_100 GenGen 0.9
41 8640 1 0 1 import 0 100_100 GenGen 0.9
42 8640 1 0 1 import 0 100_100 GenGen 0.9
43 8640 1 0 1 import 0 100_100 GenGen 0.9
44 8640 1 0 1 import 0 100_100 GenGen 0.9
45 8640 1 0 1 import 0 100_100 GenGen 0.9
46 8640 1 0 1 import 0 100_100 GenGen 0.9
47 8640 1 0 1 import 0 100_100 GenGen 0.9
48 8640 1 0 1 import 0 100_100 GenGen 0.9
49 8640 1 0 1 import 0 100_100 GenGen 0.9
50 8640 1 0 1 import 0 100_100 GenGen 0.9
30 8640 1 1 0 home 0 50_50 GenGen 0.9
31 8640 1 1 0 home 0 50_50 GenGen 0.9
32 8640 1 0.951446759259259 0.0485532407407407 home 0 50_50 GenGen 0.9
33 8640 1 0.899710648148148 0.100289351851852 home 0 50_50 GenGen 0.9
34 8640 1 0.845052083333333 0.154947916666667 home 0 50_50 GenGen 0.9
35 8640 1 0.779918981481482 0.220081018518519 home 0 50_50 GenGen 0.9
36 8640 1 0.704427083333333 0.295572916666667 home 0 50_50 GenGen 0.9
37 8640 1 0.673712384259259 0.326287615740741 home 0 50_50 GenGen 0.9
38 8640 1 0.637181712962963 0.362818287037037 home 0 50_50 GenGen 0.9
39 8640 1 0.602546296296296 0.397453703703704 home 0 50_50 GenGen 0.9
40 8640 1 0.566637731481481 0.433362268518519 home 0 50_50 GenGen 0.9
41 8640 1 0.535423900462963 0.464576099537037 home 0 50_50 GenGen 0.9
42 8640 1 0.511704282407407 0.488295717592593 home 0 50_50 GenGen 0.9
43 8640 1 0.481195746527778 0.518804253472222 home 0 50_50 GenGen 0.9
44 8640 1 0.462514467592593 0.537485532407407 home 0 50_50 GenGen 0.9
45 8640 1 0.420728443287037 0.579271556712963 home 0 50_50 GenGen 0.9
46 8640 1 0.394851345486111 0.605148654513889 home 0 50_50 GenGen 0.9
47 8640 1 0.361528862847222 0.638471137152778 home 0 50_50 GenGen 0.9
48 8640 1 0.331776258680556 0.668223741319444 home 0 50_50 GenGen 0.9
49 8640 1 0.290171983506944 0.709828016493056 home 0 50_50 GenGen 0.9
50 8640 1 0.272569444444444 0.727430555555556 home 0 50_50 GenGen 0.9
30 8640 1 0 1 import 0 50_50 GenGen 0.9
31 8640 1 0 1 import 0 50_50 GenGen 0.9
32 8640 1 0 1 import 0 50_50 GenGen 0.9
33 8640 1 0 1 import 0 50_50 GenGen 0.9
34 8640 1 0 1 import 0 50_50 GenGen 0.9
35 8640 1 0 1 import 0 50_50 GenGen 0.9
36 8640 1 0 1 import 0 50_50 GenGen 0.9
37 8640 1 0 1 import 0 50_50 GenGen 0.9
